Municipality,Year,Res_Electricity_GHG,Res_Natural_Gas_GHG,On_Road_Vehicles,Total_MTCO2e
Pennsauken township,2020,"22,659","45,940","147,662","216,261"
Morristown Town,2020,"13,630","25,124","218,184","256,938"
Mahwah township,2015,"23,970","58,454","168,189","250,613"
Montclair township,2015,"31,243","88,186","149,539","268,968"
West Orange township,2015,"36,214","94,802","125,257","256,273"
Hoboken city,2015,"39,824","31,477","136,265","207,566"
Evesham township,2020,"38,476","58,097","182,411","278,984"
North Brunswick township,2015,"27,514","60,021","169,446","256,980"
Passaic city,2020,"26,956","63,439","159,561","249,956"
Princeton,2020,"21,869","47,628","147,584","217,080"
Montclair township,2020,"28,170","78,264","170,480","276,913"
South Plainfield borough,2020,"15,298","33,595","185,377","234,270"
Carteret borough,2020,"13,231","46,375","121,458","181,064"
Jackson township,2015,"9,091","87,293","184,512","280,897"
Marlboro township,2020,"37,867","87,470","164,085","289,422"
Logan township,2015,931,"5,364","53,694","59,990"
Livingston township,2015,"30,243","77,774","132,599","240,616"
Passaic city,2015,"29,922","69,420","112,591","211,934"
Paulsboro borough,2020,"4,601","4,823","25,921","35,345"
Livingston township,2020,"26,505","68,888","154,499","249,892"
Monroe township,2015,"35,490","50,347","129,104","214,941"
Manchester township,2020,"56,251","89,421","119,373","265,046"
Plainsboro township,2015,"22,737","22,282","132,297","177,316"
South Plainfield borough,2015,"17,581","37,190","143,131","197,901"
Burlington township,2020,"15,886","29,869","147,359","193,114"
Burlington township,2015,"18,987","34,100","109,540","162,627"
Morristown Town,2015,"15,307","27,540","149,971","192,817"
Hillsborough township,2020,"33,250","57,274","154,944","245,469"
Marlboro township,2015,"45,409","87,981","125,358","258,748"
Mahwah township,2020,"20,350","54,467","149,204","224,021"
Westville borough,2015,"3,492","5,721","14,852","24,066"
Bloomfield township,2020,"27,527","68,041","135,318","230,886"
Hillsborough township,2015,"38,332","60,342","132,726","231,400"
Bernards township,2015,"30,913","64,214","124,036","219,164"
Manalapan township,2015,"43,557","74,445","128,806","246,809"
Bloomfield township,2015,"29,515","72,932","109,723","212,170"
Plainfield city,2020,"24,399","60,551","147,980","232,930"
Fair Lawn borough,2020,"21,695","55,738","148,757","226,190"
Monroe township,2020,"27,857","44,520","143,100","215,476"
Wall township,2020,"24,837","49,291","151,291","225,420"
Union City city,2015,"25,892","50,387","105,358","181,636"
Moorestown township,2015,"24,714","44,377","123,346","192,437"
Wall township,2015,"28,893","54,079","127,153","210,126"
Mount Olive township,2020,"20,910","36,294","143,908","201,111"
Rockaway township,2020,"20,516","24,483","141,345","186,344"
Kenilworth borough,2020,"5,222","18,099","94,250","117,570"
Teaneck township,2015,"30,932","75,864","109,014","215,810"
Winslow township,2020,"29,585","44,732","160,877","235,194"
Summit city,2020,"18,717","46,929","123,000","188,646"
Bernards township,2020,"25,914","57,258","137,445","220,616"
Irvington township,2020,"23,327","69,209","111,194","203,730"
Winslow township,2015,"36,441","47,670","140,737","224,848"
Manalapan township,2020,"35,975","71,973","134,824","242,773"
Teaneck township,2020,"27,477","66,685","129,653","223,814"
Rockaway township,2015,"24,092","20,346","107,146","151,584"
West Deptford township,2015,"20,942","25,271","90,517","136,730"
Irvington township,2015,"24,696","72,449","79,736","176,881"
Fort Lee borough,2015,"23,071","33,202","105,222","161,495"
Hoboken city,2020,"33,322","25,982","101,897","161,200"
Moorestown township,2020,"21,304","39,502","132,759","193,564"
Berkeley township,2015,"42,083","91,606","96,388","230,078"
Deptford township,2020,"19,510","37,750","164,534","221,794"
Summit city,2015,"23,013","54,023","95,395","172,432"
Hillside township,2020,"11,783","56,671","87,518","155,972"
Englewood city,2020,"20,162","45,823","121,606","187,591"
Fair Lawn borough,2015,"24,694","61,622","96,902","183,217"
Englewood city,2015,"22,492","50,478","96,900","169,870"
Voorhees township,2020,"21,352","38,672","136,366","196,390"
Fort Lee borough,2020,"21,442","30,633","105,330","157,405"
Elmwood Park borough,2015,"13,243","29,137","61,690","104,070"
East Greenwich township,2015,"10,388","13,620","30,560","54,569"
Oldmans township,2015,"2,277","1,411","39,827","43,515"
West Deptford township,2020,"17,462","22,359","110,576","150,397"
Fairfield township,2020,"6,892","17,246","161,553","185,691"
Hanover township,2020,"11,534","27,629","135,490","174,653"
Deptford township,2015,"23,183","43,132","129,813","196,128"
Voorhees township,2015,"23,035","44,724","109,535","177,294"
Millburn township,2015,"24,483","63,557","110,316","198,356"
Middle township,2020,"18,439","41,735","147,920","208,094"
Westfield town,2020,"26,079","89,114","106,027","221,219"
Plainfield city,2015,"26,657","65,297","90,488","182,443"
Manchester township,2015,"66,487","35,138","102,592","204,218"
Branchburg township,2020,"13,134","27,370","107,679","148,183"
Mount Olive township,2015,"23,075","27,752","106,855","157,682"
Branchburg township,2015,"15,101","29,493","81,917","126,511"
Neptune township,2020,"20,823","41,007","133,571","195,400"
Millburn township,2020,"21,902","56,310","124,499","202,711"
Union City city,2020,"22,993","44,608","86,985","154,586"
Cranford township,2020,"16,422","55,598","123,848","195,868"
Hanover township,2015,"13,239","30,458","97,184","140,880"
Ocean township,2020,"24,822","47,363","126,412","198,597"
Randolph township,2020,"21,884","44,192","129,275","195,351"
East Hanover township,2015,"10,454","28,363","106,849","145,665"
Montville township,2020,"20,975","41,260","129,681","191,916"
Hopewell township,2020,"17,580","34,881","115,216","167,676"
Fairfield township,2015,"7,943","18,450","117,905","144,298"
Raritan township,2020,"20,150","59,185","84,919","164,253"
Middle township,2015,"22,961","22,861","128,723","174,545"
East Windsor township,2015,"20,693","34,491","116,547","171,731"
Roxbury township,2020,"18,341","28,995","128,474","175,809"
Morris township,2015,"22,565","52,740","84,596","159,900"
Carlstadt borough,2020,"3,712","9,056","101,405","114,172"
Nutley township,2020,"19,358","45,761","97,541","162,660"
West New York town,2015,"22,457","30,359","86,251","139,067"
Lacey township,2015,"46,190","50,072","84,382","180,644"
Nutley township,2015,"22,394","51,526","78,503","152,424"
East Hanover township,2020,"9,383","24,723","126,659","160,765"
Ridgewood village,2015,"24,178","65,219","89,028","178,425"
East Windsor township,2020,"17,667","30,537","124,233","172,438"
Montville township,2015,"24,497","42,417","104,877","171,791"
Belleville township,2020,"19,214","46,529","105,839","171,582"
Carlstadt borough,2015,"4,460","11,115","67,557","83,132"
Westville borough,2020,"3,048","5,306","17,219","25,573"
Randolph township,2015,"25,092","45,525","97,082","167,699"
Plainsboro township,2020,"19,104","19,949","75,512","114,565"
Lindenwold borough,2015,"14,872","13,938","38,034","66,843"
Ridgewood village,2020,"20,949","57,611","107,087","185,647"
Lyndhurst township,2020,"13,979","30,711","112,283","156,974"
Glassboro borough,2020,"12,811","20,637","95,290","128,739"
Ocean township,2015,"28,687","52,441","81,036","162,164"
Atlantic Highlands borough,2020,"4,158","142,451","18,792","165,401"
Glassboro borough,2015,"15,210","22,936","77,391","115,538"
Elmwood Park borough,2020,"11,607","26,965","100,903","139,476"
Roxbury township,2015,"20,881","28,439","101,938","151,258"
Belleville township,2015,"21,629","49,826","80,397","151,852"
Rahway city,2015,"18,849","33,284","84,146","136,278"
East Rutherford borough,2020,"5,946","10,841","110,861","127,648"
Stafford township,2015,"30,824","35,669","91,831","158,325"
Hammonton town,2020,"14,047","16,999","140,514","171,560"
West Milford township,2020,"21,324","30,038","91,446","142,809"
Carteret borough,2015,"15,098","25,093","78,565","118,755"
Montgomery township,2015,"21,928","45,835","95,656","163,419"
Westfield town,2015,"29,104","54,771","84,764","168,639"
East Greenwich township,2020,"9,072","13,126","44,910","67,109"
Long Branch city,2015,"24,140","45,171","75,653","144,964"
Denville township,2020,"14,121","27,234","113,624","154,980"
Clinton township,2020,"12,465","21,316","48,801","82,581"
Totowa borough,2020,"7,880","21,787","100,623","130,290"
Cranford township,2015,"18,385","35,292","97,066","150,743"
Warren township,2015,"20,166","46,173","84,562","150,901"
Hopewell township,2015,"20,440","18,582","91,548","130,570"
West Milford township,2015,"24,384","32,597","84,146","141,127"
Morris township,2020,"19,573","49,120","90,430","159,123"
Warren township,2020,"17,505","41,437","93,661","152,602"
Willingboro township,2020,"21,186","56,775","95,834","173,795"
Hammonton town,2015,"18,194","18,771","119,541","156,506"
Florham Park borough,2020,"9,873","23,597","114,647","148,118"
Berkeley township,2020,"36,602","11,114","122,401","170,117"
West New York town,2020,"20,258","28,555","70,150","118,963"
Scotch Plains township,2020,"19,570","64,163","85,648","169,381"
Willingboro township,2015,"25,357","62,646","77,058","165,061"
Lyndhurst township,2015,"15,546","34,283","69,455","119,284"
Hackettstown town,2020,"6,909","15,271","54,007","76,188"
Garfield city,2020,"14,814","39,845","100,936","155,596"
Pennsville township,2015,"15,052","12,929","51,249","79,231"
Holmdel township,2020,"18,028","38,558","99,064","155,650"
Belvidere town,2020,"2,332","2,097","15,781","20,210"
Pemberton township,2015,"27,052","24,119","89,920","141,091"
Totowa borough,2015,"9,018","24,074","71,620","104,712"
Denville township,2015,"16,235","28,425","87,529","132,189"
Logan township,2020,739,"4,742","83,100","88,581"
Pemberton township,2020,"22,022","21,261","103,525","146,809"
Eatontown borough,2020,"10,504","11,843","130,566","152,914"
Medford township,2020,"23,403","36,191","98,093","157,687"
Raritan borough,2015,"5,496","12,050","94,879","112,424"
Florham Park borough,2015,"11,668","25,078","84,876","121,621"
Tinton Falls borough,2015,"15,231","27,575","79,142","121,947"
Oldmans township,2020,"1,597","1,218","44,407","47,222"
Lindenwold borough,2020,"13,777","13,084","46,283","73,144"
Raritan township,2015,"21,989","32,130","50,132","104,250"
East Rutherford borough,2015,"6,736","12,151","76,658","95,546"
Clark township,2020,"11,665","38,467","66,607","116,739"
Brielle borough,2020,"5,931","116,425","15,804","138,160"
Springfield township,2020,"11,849","27,076","92,904","131,829"
Holmdel township,2015,"20,632","39,909","72,538","133,079"
Phillipsburg town,2020,"9,970","28,465","35,633","74,068"
City of Orange township,2020,"13,751","33,784","69,856","117,391"
Jefferson township,2020,"19,045","7,668","88,682","115,395"
Montgomery township,2020,"19,516","42,245","73,428","135,189"
Long Branch city,2020,"22,326","4,848","113,694","140,867"
City of Orange township,2015,"14,623","35,491","57,105","107,219"
Readington township,2015,"18,745","24,675","76,541","119,961"
West Caldwell township,2020,"8,412","21,817","82,845","113,074"
Eatontown borough,2015,"12,275","14,623","74,987","101,886"
Garfield city,2015,"16,589","42,977","60,744","120,310"
Maplewood township,2015,"17,328","49,620","53,028","119,976"
Lodi borough,2020,"13,509","26,929","83,288","123,726"
Jefferson township,2015,"21,103","7,104","78,031","106,238"
Red Bank borough,2020,"8,253","14,293","96,960","119,506"
Tinton Falls borough,2020,"13,454",813,"117,741","132,009"
Maplewood township,2020,"15,739","45,207","62,449","123,394"
Upper township,2020,"12,120","9,560","115,433","137,112"
Wyckoff township,2020,"16,223","47,028","75,024","138,275"
Medford township,2015,"27,859","14,858","82,970","125,686"
Springfield township,2015,"14,195","31,327","66,900","112,423"
Berkeley heights township,2015,"11,468","28,623","49,415","89,506"
Somerville borough,2020,"7,502","14,653","97,024","119,179"
Franklin Lakes borough,2015,"17,827","48,156","63,561","129,544"
Ramsey borough,2020,"12,152","33,659","75,498","121,309"
Vernon township,2015,"8,338","6,801","78,909","94,048"
Wyckoff township,2015,"18,823","49,926","64,142","132,890"
Scotch Plains township,2015,"22,534","40,287","63,134","125,956"
Franklin Lakes borough,2020,"15,841","45,797","71,973","133,611"
Saddle Brook township,2020,"9,666","21,925","78,568","110,158"
Neptune township,2015,"24,236","45,490","12,818","82,543"
Stafford township,2020,"26,559","2,629","85,329","114,517"
Robbinsville township,2020,"12,296","21,002","72,485","105,782"
Metuchen borough,2020,"10,141","42,330","57,766","110,237"
Readington township,2020,"16,475","25,840","66,983","109,298"
Upper township,2015,"15,209","9,152","97,755","122,117"
South Orange Village township,2015,"13,794","39,489","60,307","113,590"
Pequannock township,2020,"11,096","26,742","78,161","116,000"
Ramsey borough,2015,"14,147","36,549","80,747","131,443"
Bergenfield borough,2020,"15,567","37,268","75,017","127,852"
Pequannock township,2015,"13,296","28,655","68,652","110,603"
West Caldwell township,2015,"9,630","24,205","58,359","92,194"
Pleasantville city,2020,"10,322","21,435","83,225","114,981"
Little Falls township,2020,"8,440","18,324","61,014","87,778"
Sparta township,2020,"20,393","11,161","68,149","99,702"
Lower township,2015,"27,373","27,387","45,066","99,826"
Vernon township,2020,"7,039","12,266","69,988","89,293"
Rutherford borough,2020,"11,515","28,004","66,992","106,510"
Lacey township,2020,"25,631","7,089","90,315","123,035"
Hawthorne borough,2020,"12,759","33,780","74,922","121,461"
Somerville borough,2015,"7,903","16,228","76,202","100,334"
Weehawken township,2015,"9,961","15,900","47,746","73,607"
Ocean City city,2015,"32,137","43,195","40,894","116,226"
Roselle borough,2020,"11,439","43,816","55,939","111,194"
Red Bank borough,2015,"9,958","16,278","60,214","86,450"
Hillside township,2015,"12,996","32,013","57,663","102,672"
Washington township,2020,"17,713","32,566","58,391","108,669"
Dover town,2020,"8,955","19,532","82,403","110,890"
Mantua township,2015,"31,938","23,946","56,662","112,546"
Middlesex borough,2020,"8,805","18,884","84,609","112,298"
Bergenfield borough,2015,"17,577","42,590","55,225","115,392"
Berkeley heights township,2020,"9,946","25,714","64,235","99,895"
Cinnaminson township,2020,"13,345","24,383","71,852","109,580"
Rutherford borough,2015,"13,230","32,263","46,818","92,311"
Pleasantville city,2015,"13,038","34,669","50,104","97,812"
Sparta township,2015,"22,729","5,651","64,216","92,595"
Lodi borough,2015,"15,724","29,842","51,336","96,902"
Lower township,2020,"20,828","25,436","54,498","100,762"
Hawthorne borough,2015,"14,539","36,777","55,143","106,459"
Mantua township,2020,"25,878","20,729","71,242","117,850"
Washington township,2015,"20,229","19,531","58,239","97,998"
Little Falls township,2015,"9,636","20,878","44,171","74,685"
Oakland borough,2020,"10,215","26,889","76,289","113,393"
Franklin township,2015,"15,168","12,167","69,766","97,101"
Maple Shade township,2020,"13,315","19,181","64,767","97,263"
Saddle Brook township,2015,"11,173","24,499","53,559","89,231"
Freehold borough,2020,"6,348","14,317","42,253","62,919"
Harrison township,2020,"14,632","21,832","64,452","100,916"
South Orange Village township,2020,"12,558","36,294","54,335","103,186"
Cinnaminson township,2015,"15,377","27,479","54,735","97,591"
Florence township,2020,"9,374","15,806","70,314","95,495"
Phillipsburg town,2015,"10,833","15,980","41,471","68,284"
Hazlet township,2015,"16,460","29,461","54,456","100,377"
Maple Shade township,2015,"15,427","22,148","51,577","89,151"
North Plainfield borough,2020,"11,025","25,044","68,259","104,328"
Barnegat township,2015,"22,904","37,117","50,871","110,892"
Madison borough,2020,2,"30,173","81,661","111,836"
Robbinsville township,2015,"13,670","21,754","50,645","86,069"
Oakland borough,2015,"11,877","29,428","57,868","99,174"
Raritan borough,2020,"4,907","10,972","62,124","78,002"
Aberdeen township,2020,"13,295","26,379","73,388","113,063"
Somers Point city,2015,"9,133","13,319","44,325","66,778"
Dover town,2015,"10,279","20,896","59,806","90,981"
Point Pleasant borough,2020,"16,625","32,683","59,680","108,988"
Franklin township,2020,"11,818","13,145","73,039","98,003"
Kenilworth borough,2015,"6,176","11,504","78,918","96,598"
Madison borough,2015,NDA,"33,796","67,184","100,980"
Cranbury township,2020,"3,887","7,537","57,023","68,447"
Cliffside Park borough,2020,"15,969","24,940","50,255","91,164"
Bordentown township,2020,"8,219","14,617","72,011","94,847"
Delran township,2015,"14,967","22,069","50,587","87,623"
Hazlet township,2020,"13,339","8,485","82,436","104,260"
Freehold borough,2015,"7,237","14,449","29,592","51,278"
Delran township,2020,"12,877","19,439","61,415","93,731"
Middlesex borough,2015,"10,220","21,494","51,125","82,839"
Ocean City city,2020,"27,755","35,336","34,803","97,894"
Point Pleasant borough,2015,"18,945","36,429","43,821","99,195"
Clark township,2015,"13,256","22,220","48,160","83,636"
Neptune City borough,2015,"3,950","6,177","94,483","104,610"
Clinton township,2015,"14,357","11,946","57,729","84,032"
Barnegat township,2020,"20,358","40,326","44,052","104,736"
Somers Point city,2020,"7,429","11,395","50,558","69,382"
New Providence borough,2020,"9,820","23,646","65,095","98,561"
Tenafly borough,2015,"15,346","40,017","41,143","96,507"
New Hanover township,2015,"3,855","3,891","22,356","30,102"
Palisades Park borough,2020,"10,558","22,773","56,558","89,889"
Salem city,2015,"9,157","4,112","15,357","28,625"
Pennsville township,2020,"11,325","11,152","51,734","74,211"
Montvale borough,2015,"8,313","20,251","39,934","68,498"
Colts Neck township,2020,"14,843","27,846","56,733","99,422"
Teterboro borough,2020,43,76,"82,180","82,299"
Bedminster township,2015,"9,000","12,970","61,448","83,418"
Cranbury township,2015,"4,444","8,189","46,112","58,745"
Cliffside Park borough,2015,"18,013","26,438","35,444","79,896"
Bellmawr borough,2020,"7,998","13,702","53,592","75,293"
Weehawken township,2020,"10,227","13,946","33,024","57,197"
New Hanover township,2020,"3,013","3,324","35,664","42,000"
Colts Neck township,2015,"17,236","28,464","48,303","94,003"
Flemington borough,2020,"3,726","7,842","54,631","66,199"
New Providence borough,2015,"11,653","26,495","49,356","87,503"
Aberdeen township,2015,"14,820","28,223","49,605","92,647"
North Plainfield borough,2015,"12,615","26,741","42,659","82,015"
Harrison town,2015,"7,098","17,717","48,263","73,079"
Harrison township,2015,"17,919","24,863","43,971","86,753"
Westampton township,2020,"7,501","9,545","60,256","77,302"
Little Egg Harbor township,2020,"14,022","15,709","46,922","76,652"
Metuchen borough,2015,"11,096","23,811","49,054","83,961"
Haddon township,2020,"10,807","19,587","47,057","77,451"
Tenafly borough,2020,"13,721","36,665","41,253","91,638"
Cedar Grove township,2020,"9,872","23,813","49,031","82,715"
Florence township,2015,"10,932","18,388","40,620","69,940"
Roseland borough,2015,"6,155","14,333","47,542","68,030"
Haddon township,2015,"11,894","22,186","35,187","69,267"
Bedminster township,2020,"7,180","10,906","62,329","80,415"
Roselle borough,2015,"11,960","25,896","36,018","73,875"
Lumberton township,2020,"10,076","15,369","58,217","83,663"
Cedar Grove township,2015,"11,082","27,094","37,045","75,221"
New Milford borough,2020,"10,596","23,449","51,117","85,161"
Bordentown township,2015,"9,621","16,825","52,291","78,737"
Mountainside borough,2020,"6,603","21,930","57,670","86,203"
Verona township,2015,"10,890","27,133","39,510","77,534"
Lumberton township,2015,"12,025","17,665","45,027","74,717"
Asbury Park city,2020,"8,410","13,319","48,790","70,520"
North Arlington borough,2020,"8,900","21,741","49,919","80,560"
Little Egg Harbor township,2015,"14,840","28,202","44,304","87,345"
Verona township,2020,"9,688","24,730","44,875","79,293"
Edgewater borough,2020,"10,425","9,451","49,707","69,582"
Roseland borough,2020,"5,328","13,037","56,147","74,512"
Asbury Park city,2015,"9,009","17,889","33,448","60,346"
Dumont borough,2020,"10,871","26,497","49,127","86,495"
Palisades Park borough,2015,"11,367","23,780","31,975","67,123"
Hackettstown town,2015,"7,976","9,166","49,284","66,426"
Woodbury city,2020,"7,183","12,006","55,299","74,488"
Westampton township,2015,"9,025","10,901","44,037","63,963"
Rockaway borough,2020,"4,558","8,511","57,908","70,976"
Mount Holly township,2020,"6,919","12,829","50,890","70,639"
Dumont borough,2015,"12,602","30,713","37,770","81,085"
Woodland Park borough,2020,"8,666","18,521","47,416","74,604"
Englewood Cliffs borough,2015,"6,624","19,955","40,939","67,517"
Moonachie borough,2020,"1,888","3,852","52,509","58,249"
New Milford borough,2015,"12,129","26,942","35,883","74,954"
Montvale borough,2020,"7,390","19,043","35,847","62,280"
Watchung borough,2020,"6,575","16,207","45,311","68,093"
Upper Saddle River borough,2015,"11,290","33,309","40,123","84,723"
Woodbury city,2015,"8,130","12,836","44,592","65,558"
Millstone township,2015,"14,343","24,734","35,666","74,743"
Ridgefield Park village,2020,"7,027","16,652","44,337","68,017"
Berlin borough,2020,"8,649","13,135","34,711","56,495"
Mullica township,2020,"4,558","3,082","66,983","74,623"
Lincoln Park borough,2015,"8,562","16,542","48,656","73,761"
Dennis township,2020,"5,675","10,371","61,098","77,144"
Edgewater borough,2015,"11,324","9,752","37,503","58,578"
Mullica township,2015,"6,049","3,070","64,425","73,544"
Lincoln Park borough,2020,"7,293","15,208","53,594","76,095"
Bellmawr borough,2015,"9,391","15,788","36,176","61,355"
Hopatcong borough,2015,"15,584",NDA,"46,307","61,891"
Haddonfield borough,2020,"11,490","21,912","48,120","81,523"
Absecon city,2015,"9,382","14,589","46,725","70,696"
Newton town,2020,"5,632","10,647","39,085","55,364"
Watchung borough,2015,"7,464","17,526","36,427","61,417"
Woodland Park borough,2015,"9,895","20,372","33,328","63,596"
Westwood borough,2020,"7,830","17,620","46,241","71,690"
Wanaque borough,2020,"7,866","18,241","47,295","73,403"
Carneys Point township,2020,"4,560","6,054","62,670","73,284"
Boonton Town,2020,"5,843","14,387","53,780","74,011"
Mount Holly township,2015,"7,808","14,331","40,912","63,051"
Harrison town,2020,"8,899","16,203","36,287","61,389"
North Arlington borough,2015,"10,198","23,935","31,643","65,776"
Morris Plains borough,2020,"4,632","11,825","49,978","66,435"
South River borough,2020,NDA,"22,802","55,335","78,138"
Waterford township,2015,"13,796","15,420","36,679","65,895"
Little Ferry borough,2020,"6,492","11,674","41,249","59,415"
Collingswood borough,2020,"8,912","16,984","41,439","67,336"
Carneys Point township,2015,"5,515","7,644","55,748","68,907"
Dennis township,2015,"7,530","11,437","47,143","66,111"
Haddonfield borough,2015,"12,980","24,949","34,756","72,684"
Wharton borough,2020,"4,795","7,100","39,676","51,571"
Ridgefield Park village,2015,"7,994","18,639","32,049","58,681"
