Municipality,Year,Res_Electricity_GHG,Res_Natural_Gas_GHG,On_Road_Vehicles,Total_MTCO2e
Morris Plains borough,2015,"5,119","12,928","37,773","55,820"
Hasbrouck Heights borough,2020,"7,973","18,542","44,658","71,172"
Westwood borough,2015,"8,987","19,440","33,572","61,999"
Upper Saddle River borough,2020,"9,905","30,713","39,073","79,691"
Northfield city,2015,"7,946","15,243","44,998","68,187"
Flemington borough,2015,"3,895","4,241","60,826","68,963"
Glen Rock borough,2020,"9,363","25,762","39,878","75,004"
Waterford township,2020,"11,013","13,944","42,569","67,526"
Glen Rock borough,2015,"10,751","28,997","31,391","71,139"
Highland Park borough,2020,"8,597","16,229","41,875","66,701"
Berlin borough,2015,"10,743","15,057","30,491","56,291"
Gloucester City city,2020,"7,828","13,467","42,994","64,290"
Kinnelon borough,2020,234,"30,978","34,978","66,191"
West Long Branch borough,2020,"6,611","13,565","52,864","73,040"
Bernardsville borough,2015,"11,784","19,677","32,798","64,258"
Keansburg borough,2020,"5,990","47,853","19,665","73,507"
Collingswood borough,2015,"9,873","19,411","30,841","60,125"
Moonachie borough,2015,"2,229","4,452","31,629","38,310"
Mansfield township,2015,"9,371","22,063","30,838","62,272"
Ringwood borough,2020,"9,812","19,297","40,711","69,819"
Woolwich township,2020,11,"15,621","61,595","77,227"
Bound Brook borough,2020,"6,134","13,908","50,104","70,146"
Roselle Park borough,2020,"7,397","24,976","32,801","65,174"
Bernardsville borough,2020,"10,159","19,955","34,946","65,060"
Pompton Lakes borough,2020,"7,988","18,465","40,549","67,003"
Burlington city,2015,"7,514","15,804","32,589","55,907"
Chatham township,2015,"11,900","24,349","33,832","70,081"
Spotswood borough,2015,"7,296","11,920","24,593","43,810"
Wanaque borough,2015,"8,620","19,613","32,180","60,413"
West Long Branch borough,2015,"7,429","14,824","34,959","57,212"
Ventnor City city,2015,"11,178","24,181","9,854","45,213"
Little Ferry borough,2015,"7,773","13,271","27,585","48,630"
Ringwood borough,2015,"11,248","20,790","30,806","62,844"
Long Hill township,2020,"7,721","16,466","44,685","68,872"
Highland Park borough,2015,"9,210","17,788","30,772","57,769"
Gloucester City city,2015,"8,629","14,447","32,400","55,475"
Runnemede borough,2020,"5,988","9,082","32,112","47,182"
Hasbrouck Heights borough,2015,"9,404","21,201","28,538","59,142"
Long Hill township,2015,"8,982","17,976","39,093","66,051"
Woodcliff Lake borough,2015,"7,140","19,477","30,378","56,995"
Swedesboro borough,2015,"19,258","3,162","11,773","34,194"
Pine Beach borough,2020,"1,939","42,633","5,289","49,860"
Runnemede borough,2015,"7,037","10,438","23,869","41,344"
Pompton Lakes borough,2015,"9,233","20,672","29,583","59,488"
Millstone township,2020,"12,266","24,516","27,584","64,365"
Burlington city,2020,"6,675","13,624","39,136","59,436"
Pittsgrove township,2015,"3,614","7,519","40,103","51,235"
Matawan borough,2015,"9,438","17,915","33,393","60,746"
Wharton borough,2015,"5,549","7,800","23,236","36,585"
Teterboro borough,2015,281,87,"42,477","42,845"
Matawan borough,2020,"8,117","11,998","44,453","64,568"
River Edge borough,2020,"7,652","18,238","40,450","66,340"
Mansfield township,2020,"7,638","14,393","42,237","64,268"
Hopatcong borough,2020,"14,355",NDA,"36,290","50,646"
Spotswood borough,2020,"6,145","10,535","30,481","47,161"
Maywood borough,2020,"6,001","14,340","34,571","54,912"
Wallington borough,2020,"5,969","13,351","47,185","66,504"
Southampton township,2015,"15,024","5,513","33,212","53,748"
Englewood Cliffs borough,2020,"5,806","18,203","30,928","54,938"
Maywood borough,2015,"7,077","16,219","23,166","46,463"
Upper Deerfield township,2015,"3,274","4,081","31,835","39,190"
Waldwick borough,2020,"6,872","17,814","40,423","65,109"
South River borough,2015,NDA,"25,078","41,834","66,912"
Southampton township,2020,"12,201","5,394","40,153","57,748"
Chatham township,2020,"10,226","22,842","33,127","66,195"
Chatham borough,2020,"6,711","17,258","40,480","64,450"
Upper Deerfield township,2020,"2,467","4,462","35,637","42,566"
Waldwick borough,2015,"7,676","19,859","30,963","58,498"
Hillsdale borough,2020,"8,152","21,381","36,911","66,444"
Northfield city,2020,"6,192","13,025","44,609","63,826"
Swedesboro borough,2020,"15,685","2,858","13,641","32,185"
Fairview borough,2020,"6,351","14,972","35,819","57,142"
Chatham borough,2015,"7,682","19,424","32,488","59,594"
Rockaway borough,2015,"5,579","8,585","36,297","50,461"
Newton town,2015,"6,430","6,212","28,243","40,884"
Closter borough,2015,"8,504","23,200","29,760","61,464"
Clayton borough,2015,"7,487","10,888","33,880","52,255"
Mountainside borough,2015,"7,469","13,641","36,018","57,128"
Bound Brook borough,2015,"6,684","15,740","33,918","56,343"
Pittsgrove township,2020,"2,962","7,249","40,504","50,716"
Long Beach township,2020,"11,992","41,350","9,965","63,307"
Closter borough,2020,"7,305","20,927","32,435","60,668"
Hillsdale borough,2015,"9,307","23,730","27,242","60,279"
Washington township,2015,"7,189","8,096","29,242","44,527"
Rochelle Park township,2020,"3,767","8,894","41,779","54,441"
Woodcliff Lake borough,2020,"6,265","18,250","31,322","55,836"
Mansfield township,2020,"5,668","8,824","22,712","37,204"
Salem city,2020,"7,155","3,662","15,387","26,205"
Ventnor City city,2020,"9,659","18,974","10,549","39,182"
Oradell borough,2020,"6,598","17,551","37,219","61,368"
Fairview borough,2015,"7,127","15,755","23,631","46,513"
River Edge borough,2015,"8,644","20,488","26,752","55,884"
Green Brook township,2020,"5,815","13,317","39,108","58,240"
Clayton borough,2020,"6,106","9,803","37,362","53,271"
Midland Park borough,2020,"4,983","13,856","40,633","59,472"
Allendale borough,2015,"7,179","19,302","27,772","54,253"
Wantage township,2020,"3,260","1,071","27,342","31,673"
Chester township,2015,"11,231","16,899","29,397","57,527"
River Vale township,2015,"9,880","24,442","28,038","62,360"
Wood-Ridge borough,2020,"7,006","14,833","31,878","53,717"
High Bridge borough,2020,"3,523","3,620","13,770","20,914"
Pitman borough,2015,"8,432","13,664","27,604","49,699"
Island Heights borough,2015,"19,286","3,868","3,684","26,837"
Kinnelon borough,2015,292,"17,859","37,997","56,147"
Brigantine city,2015,"15,486","22,780","9,751","48,017"
Absecon city,2020,"7,757","13,307","32,488","53,552"
Manville borough,2020,"6,344","15,189","38,590","60,123"
Cresskill borough,2015,"8,874","23,879","26,920","59,673"
Allendale borough,2020,"6,340","18,032","30,926","55,298"
River Vale township,2020,"8,533","22,044","31,619","62,197"
Linwood city,2015,"8,641","14,674","33,817","57,132"
Berlin township,2015,"6,577","6,607","30,530","43,714"
Berlin township,2020,"5,442","6,547","37,450","49,439"
Lopatcong township,2020,"6,760","17,521","24,865","49,146"
Hardyston township,2020,"6,851","12,813","28,463","48,127"
Oradell borough,2015,"7,887","20,061","27,863","55,810"
Upper Pittsgrove township,2015,"4,831",983,"30,312","36,126"
Upper Freehold township,2015,"7,517","11,085","35,295","53,897"
Wantage township,2015,"3,179",533,"29,934","33,647"
Shrewsbury borough,2020,"3,760","7,937","42,554","54,251"
Cresskill borough,2020,"7,953","21,733","29,084","58,769"
Oceanport borough,2020,"5,335","11,849","40,861","58,045"
Chesterfield township,2015,"5,397","6,652","20,391","32,440"
Mansfield township,2015,"6,540","5,361","22,965","34,867"
Rochelle Park township,2015,"4,364","9,781","27,835","41,980"
Washington township,2015,"9,394","22,557","20,742","52,692"
Medford Lakes borough,2015,"4,369","35,361","10,792","50,523"
Boonton township,2015,"5,599","4,007","40,562","50,168"
Woolwich township,2015,4,"15,721","40,735","56,461"
Pennington borough,2020,"2,374","8,451","15,650","26,475"
South Amboy city,2020,"7,983","13,781","29,786","51,551"
Saddle River borough,2020,"8,334","21,678","30,662","60,675"
Pitman borough,2020,"6,978","11,794","30,554","49,327"
Midland Park borough,2015,"5,733","15,213","29,432","50,378"
Chester township,2020,"9,521","16,488","28,689","54,697"
Caldwell borough,2020,"4,928","12,074","30,893","47,895"
Stratford borough,2015,"5,744","9,660","26,953","42,356"
Washington township,2020,"7,950","20,065","28,217","56,232"
Emerson borough,2020,"5,587","13,748","34,427","53,762"
Hardyston township,2015,"7,801","6,951","23,479","38,230"
Lopatcong township,2015,"6,945","9,508","32,712","49,165"
Caldwell borough,2015,"5,561","13,465","23,907","42,933"
Wood-Ridge borough,2015,"7,197","15,810","19,015","42,023"
Ocean township,2015,"9,271","17,293","25,003","51,567"
Plumsted township,2015,"9,631","7,040","28,589","45,260"
Clinton town,2020,"2,621","5,469","22,978","31,068"
Washington borough,2020,"5,227","13,338","21,038","39,603"
Haledon borough,2020,"4,339","12,640","20,002","36,981"
Washington township,2020,"6,367","8,689","29,333","44,389"
Ocean township,2020,"8,235","20,608","23,295","52,137"
Saddle River borough,2015,"10,042","23,544","24,873","58,459"
Wallington borough,2015,"6,796","15,471","23,809","46,076"
Pilesgrove township,2020,785,"2,163","47,252","50,200"
Rumson borough,2020,"10,838","23,374","20,985","55,196"
North Haledon borough,2020,"6,952","18,992","26,439","52,382"
Audubon borough,2015,"7,512","14,080","22,619","44,211"
Roselle Park borough,2015,"8,149","15,282","20,369","43,800"
Manville borough,2015,"7,364","16,395","22,892","46,651"
Riverdale borough,2020,"3,129","6,198","30,913","40,240"
Audubon borough,2020,"6,558","12,390","28,376","47,323"
South Amboy city,2015,"8,869","14,604","22,566","46,039"
Brigantine city,2020,"12,933","19,008","11,094","43,035"
Mendham township,2015,"10,114","20,919","22,351","53,384"
Rumson borough,2015,"12,081","23,590","16,906","52,578"
Margate City city,2015,"12,287","25,845","8,686","46,819"
Keyport borough,2020,"4,908","9,084","34,019","48,011"
Maurice River township,2020,"2,035","1,598","41,814","45,447"
Buena Vista township,2015,"9,676","7,013","20,593","37,282"
Medford Lakes borough,2020,"3,821","32,284","11,338","47,442"
Riverdale borough,2015,"3,924","6,892","28,689","39,504"
Butler borough,2020,3,"13,555","37,062","50,620"
Maurice River township,2015,"2,700","1,920","31,743","36,363"
Boonton Town,2015,"6,282","15,142","15,422","36,846"
Leonia borough,2015,"6,209","16,905","19,555","42,668"
Hainesport township,2020,"5,483","7,834","29,663","42,981"
Butler borough,2015,2,"14,721","34,734","49,458"
Tabernacle township,2020,"7,506","4,771","24,897","37,174"
Frankford township,2020,"3,880","1,617","24,971","30,468"
Andover township,2020,"5,876","2,369","20,623","28,868"
Pilesgrove township,2015,820,821,"40,981","42,621"
Tabernacle township,2015,"9,072","3,549","21,672","34,293"
North Haledon borough,2015,"7,937","20,522","19,926","48,386"
Haledon borough,2015,"4,819","17,662","14,510","36,991"
Haddon Heights borough,2020,"6,025","11,435","30,285","47,745"
Glen Ridge borough,2015,"6,683","18,934","12,691","38,307"
Union Beach borough,2020,"4,064","12,008","33,715","49,787"
Hainesport township,2015,"6,555","8,823","23,955","39,332"
Milltown borough,2020,23,"11,974","40,338","52,335"
Pine Hill borough,2015,"9,936","10,847","23,036","43,819"
Plumsted township,2020,"8,012","6,078","22,039","36,128"
Beachwood borough,2020,"8,196","16,299","25,241","49,735"
Edgewater Park township,2015,"7,058","12,540","23,402","43,000"
Tewksbury township,2015,"10,121","9,469","25,883","45,473"
Pine Hill borough,2020,"8,107","10,771","28,913","47,791"
Barrington borough,2020,"5,138","8,155","27,459","40,752"
Linwood city,2020,"7,951","13,222","23,844","45,017"
Folsom borough,2015,"1,160","1,366","45,039","47,565"
Leonia borough,2020,"5,445","14,937","23,441","43,823"
Buena Vista township,2020,"7,448","6,669","22,882","37,000"
Edgewater Park township,2020,"6,030","10,962","28,441","45,433"
Emerson borough,2015,"6,448","15,423","21,950","43,821"
Point Pleasant Beach borough,2020,"5,734","10,988","25,455","42,177"
Tewksbury township,2020,"8,830","9,383","25,397","43,610"
Greenwich township,2015,"5,229","7,830","24,855","37,914"
Lambertville city,2015,"4,452","5,340","33,331","43,123"
Washington borough,2015,"5,725","8,096","22,458","36,279"
Bloomingdale borough,2020,39,"11,498","30,785","42,322"
Park Ridge borough,2020,1,"18,765","28,093","46,859"
Barrington borough,2015,"5,898","9,340","20,214","35,452"
Stratford borough,2020,"4,693","8,247","23,877","36,817"
Park Ridge borough,2015,2,"20,728","24,547","45,277"
Lebanon township,2015,"7,449",284,"19,000","26,733"
Haddon Heights borough,2015,"6,812","12,995","22,398","42,205"
Bass River township,2020,"1,180","27,465","9,419","38,064"
Mendham borough,2020,"5,534","14,425","24,942","44,901"
Little Silver borough,2020,"6,707","13,768","24,120","44,595"
Margate City city,2020,"10,815","20,171","11,539","42,525"
Harvey Cedars borough,2020,"2,193","26,911","1,555","30,659"
Oceanport borough,2015,"5,887","12,335","25,132","43,354"
Beachwood borough,2015,"9,655","14,727","20,165","44,547"
Keyport borough,2015,"5,861","10,093","20,670","36,624"
Byram township,2015,"9,267",NDA,"22,538","31,806"
Haworth borough,2020,"3,180","9,394","13,647","26,220"
Glen Ridge borough,2020,"5,960","17,082","12,477","35,518"
Buena borough,2015,"3,900","6,283","32,062","42,245"
Haworth borough,2015,"3,538","10,511","10,000","24,049"
Frankford township,2015,"4,135",365,"22,813","27,313"
Hightstown borough,2015,"4,014","9,611","20,027","33,651"
Mendham township,2020,"8,604","19,934","17,750","46,288"
Somerdale borough,2015,"4,519","8,976","15,248","28,743"
Fanwood borough,2020,"5,485","17,852","21,595","44,932"
Chesterfield township,2020,"5,033","7,038","23,885","35,956"
Mountain Lakes borough,2015,"5,076","12,432","23,214","40,721"
Woodstown borough,2020,"6,864","3,849","8,162","18,875"
Mountain Lakes borough,2020,"4,398","11,785","27,131","43,314"
Mount Arlington borough,2020,"4,665","5,360","27,955","37,981"
Point Pleasant Beach borough,2015,"5,936","12,212","15,895","34,043"
Beach Haven borough,2020,"7,913","30,550","3,661","42,125"
Greenwich township,2020,"4,654","13,702","15,890","34,246"
North Caldwell borough,2015,"8,575","22,052","13,650","44,276"
Guttenberg town,2015,"4,462","7,917","16,601","28,980"
Mannington township,2015,"1,331",302,"10,460","12,093"
Manasquan borough,2015,"7,187","14,645","17,831","39,663"
Folsom borough,2020,903,"1,578","38,698","41,178"
Somerdale borough,2020,"3,798","7,694","20,450","31,942"
Little Silver borough,2015,"8,045","14,394","16,837","39,276"
Old Tappan borough,2015,"7,432","19,205","17,813","44,451"
Byram township,2020,"8,031",NDA,"19,710","27,741"
Keansburg borough,2015,"6,393","12,152","20,995","39,540"
Franklin borough,2020,"4,133","1,646","23,301","29,080"
Harding township,2015,"8,671","17,680","14,358","40,709"
Woodstown borough,2015,"8,634","4,340","6,838","19,812"
Hightstown borough,2020,"3,468","8,530","22,488","34,486"
Lebanon township,2020,"6,750",514,"19,201","26,465"
Manasquan borough,2020,"6,751","13,175","19,391","39,317"
Buena borough,2020,"2,936","5,508","32,103","40,548"
Upper Pittsgrove township,2020,"3,838","1,100","33,806","38,745"
White township,2020,"4,301","4,405","16,038","24,743"
Riverside township,2015,"6,188","10,927","16,935","34,050"
Palmyra borough,2015,"6,471","10,638","18,368","35,477"
Wildwood city,2015,"9,272","9,838","2,782","21,893"
Northvale borough,2020,"3,272","9,292","17,332","29,897"
Norwood borough,2015,"5,483","15,572","15,863","36,919"
Green Brook township,2015,"6,684","15,205","10,108","31,997"
Union township,2015,"6,387","2,848","20,224","29,460"
Shamong township,2015,"8,450","7,701","18,779","34,930"
Blairstown township,2015,"7,287",NDA,"19,785","27,072"
North Caldwell borough,2020,"7,539","20,229","13,204","40,972"
Hampton township,2015,"5,557","1,743","16,952","24,253"
Palmyra borough,2020,"5,781","9,693","22,489","37,963"
Upper Freehold township,2020,"7,918","11,082","12,323","31,323"
Belmar borough,2020,"5,832","10,973","19,699","36,504"
Greenwich township,2020,"3,814","1,910","28,471","34,195"
Harding township,2020,"7,404","17,586","13,658","38,648"
Mendham borough,2015,"6,506","15,425","14,923","36,854"
Andover township,2015,"6,783","1,287","20,502","28,572"
Chester borough,2020,"1,681","4,436","29,174","35,291"
Mount Arlington borough,2015,"4,853","4,807","23,505","33,164"
Shamong township,2020,"6,775","7,225","21,676","35,677"
Jamesburg borough,2015,"5,555","8,372","22,192","36,120"
Belmar borough,2015,"6,358","12,191","14,078","32,627"
Hampton township,2020,"4,819","2,854","18,412","26,085"
Riverside township,2020,"5,357","9,883","19,096","34,336"
Egg Harbor City city,2015,"4,951","5,526","19,831","30,308"
Bethlehem township,2015,"4,669",262,"27,267","32,198"
Garwood borough,2020,"2,875","9,593","21,118","33,586"
Jamesburg borough,2020,"4,653","7,555","24,641","36,849"
Northvale borough,2015,"3,628","10,524","8,853","23,004"
Cape May City,2015,"8,296","10,056","3,595","21,947"
Blairstown township,2020,"6,342",NDA,"21,559","27,902"
White township,2015,"5,102","2,753","18,423","26,278"
Union township,2020,"5,469","5,097","15,309","25,875"
Dunellen borough,2020,"4,218","10,347","20,353","34,918"
Clementon borough,2015,"12,737","5,485","12,540","30,762"
Allamuchy township,2020,"4,531","12,743","16,085","33,358"
Pohatcong township,2020,"3,131","1,020","20,428","24,579"
Wrightstown borough,2020,820,624,"32,854","34,299"
Holland township,2015,"6,237",936,"19,453","26,626"
Guttenberg town,2020,"3,922","7,114","13,672","24,709"
Bogota borough,2020,"4,556","11,518","16,941","33,015"
South Hackensack township,2015,"1,693","4,012","3,670","9,375"
Norwood borough,2020,"4,723","14,018","14,575","33,316"
Clinton town,2015,"2,916","2,936","26,463","32,315"
Egg Harbor City city,2020,"4,051","5,253","19,768","29,072"
Greenwich township,2015,"4,720","2,011","22,019","28,750"
Old Tappan borough,2020,"6,378","17,554","12,269","36,201"
Avalon borough,2020,"11,455","15,049","7,037","33,541"
Green township,2015,"4,855",NDA,"27,231","32,086"
Mannington township,2020,975,245,"17,120","18,340"
Dunellen borough,2015,"4,797","11,096","14,999","30,892"
Neptune City borough,2020,"3,369","5,632","17,295","26,296"
Wildwood Crest Borough,2015,"8,078","11,528","2,215","21,821"
Bloomingdale borough,2015,33,"12,704","21,858","34,595"
Avalon borough,2015,"11,492","15,651","4,469","31,613"
Beach Haven borough,2015,"7,935","21,388","3,288","32,611"
Bogota borough,2015,"5,111","12,835","12,229","30,175"
Holland township,2020,"5,416","1,644","15,299","22,359"
Netcong borough,2020,"2,320","2,025","25,332","29,677"
North Wildwood city,2015,"9,578","12,087","5,493","27,159"
Brielle borough,2015,"6,614","12,034","14,185","32,832"
Franklin borough,2015,"5,111",763,"16,758","22,633"
Franklin township,2020,"3,616",377,"20,446","24,439"
Magnolia borough,2020,"2,983","6,706","13,570","23,259"
Garwood borough,2015,"3,294","6,166","16,259","25,718"
Long Beach township,2015,"11,677","11,927","10,389","33,993"
Demarest borough,2015,"5,745","15,965","13,384","35,095"
Clementon borough,2020,"10,483","5,107","15,471","31,061"
Alexandria township,2015,"6,006",NDA,"19,086","25,092"
Milltown borough,2015,24,"13,643","19,567","33,235"
Sussex borough,2015,"1,975",980,"9,928","12,883"
Fair Haven borough,2020,"5,961","12,534","15,514","34,009"
Fanwood borough,2015,"6,135","11,525","14,184","31,843"
Independence township,2015,"5,882","4,054","15,805","25,742"
Magnolia borough,2015,"3,507","7,770","10,502","21,780"
Wildwood city,2020,"8,062","7,833","3,482","19,377"
Sussex borough,2020,"1,921","2,019","10,159","14,100"
Bethlehem township,2020,"4,089",474,"18,849","23,412"
Cape May City,2020,"7,012","8,184","5,686","20,881"
Boonton township,2020,"4,955","3,914","15,448","24,317"
Franklin township,2015,"4,015",194,"18,142","22,352"
Fair Haven borough,2015,"6,858","12,809","12,507","32,174"
Allamuchy township,2015,"5,251","7,584","18,071","30,906"
Penns Grove borough,2015,"6,629","6,276","5,529","18,434"
Tuckerton borough,2015,"7,260","7,613","8,524","23,396"
Lakehurst borough,2020,"1,844","6,744","10,930","19,518"
North Hanover township,2015,"4,827",377,"21,587","26,792"
Demarest borough,2020,"5,066","14,577","12,316","31,958"
Kingwood township,2015,"4,717",222,"16,680","21,619"
Ho-Ho-Kus borough,2015,"5,059","13,594","12,485","31,138"
Spring Lake Heights borough,2015,"5,447","8,556","14,353","28,355"
Stillwater township,2015,"5,151",NDA,"11,754","16,905"
Lawnside borough,2020,"2,252","3,774","17,876","23,903"
Spring Lake Heights borough,2020,"4,740","7,749","17,771","30,260"
Union Beach borough,2015,"4,613","8,532","12,829","25,974"
Peapack and Gladstone borough,2015,"3,440","4,477","16,716","24,633"
Chester borough,2015,"1,927","4,819","17,921","24,667"
Delaware township,2015,"6,377",641,"14,803","21,821"
South Toms River borough,2015,"15,249","4,422","5,803","25,473"
Independence township,2020,"4,762","6,592","13,531","24,886"
North Hanover township,2020,"3,933",420,"23,884","28,237"
Hamburg borough,2020,"3,193","5,612","13,869","22,675"
Harrington Park borough,2020,"3,972","11,413","17,570","32,954"
North Wildwood city,2020,"8,398","10,074","7,894","26,367"
Elk township,2020,873,"3,112","19,720","23,705"
Pohatcong township,2015,"3,672",516,"13,939","18,126"
Eastampton township,2015,"5,386","7,188","16,182","28,756"
Sea Isle City city,2015,"11,715","12,253","4,704","28,671"
Harrington Park borough,2015,"4,596","13,196","14,791","32,584"
Eastampton township,2020,"4,908","6,695","18,622","30,225"
Lakehurst borough,2015,"1,782","6,351","10,219","18,351"
Atlantic Highlands borough,2015,"4,832","9,761","11,515","26,108"
Ho-Ho-Kus borough,2020,"4,430","12,343","13,880","30,653"
Quinton township,2015,"2,411",10,"24,015","26,436"
Bordentown city,2015,"3,170","6,186","15,599","24,956"
Spring Lake borough,2015,"5,703","12,784","8,676","27,162"
Shrewsbury borough,2015,"4,615","8,597","4,421","17,634"
High Bridge borough,2015,"3,983","1,690","15,093","20,765"
Belvidere town,2015,"2,712",896,"16,752","20,360"
Bordentown city,2020,"2,830","5,471","18,437","26,738"
Port Republic city,2020,"1,378",52,"27,549","28,979"
Lambertville city,2020,"3,916","9,644","8,973","22,532"
Sea Isle City city,2020,"10,550","10,031","6,576","27,156"
Stillwater township,2020,"4,508",NDA,"11,419","15,927"
Commercial township,2020,"1,385","3,916","11,865","17,165"
Delanco township,2020,"3,779","6,526","14,107","24,413"
Peapack and Gladstone borough,2020,"2,965","4,641","15,926","23,533"
Springfield township,2020,"3,592","1,473","17,009","22,074"
East Amwell township,2015,"5,273","1,062","16,050","22,384"
Deerfield township,2015,"2,408","2,042","11,542","15,992"
Springfield township,2015,"4,295","1,783","13,050","19,129"
Knowlton township,2015,"3,706",NDA,"16,006","19,711"
Netcong borough,2015,"2,633","1,291","16,419","20,343"
Commercial township,2015,"1,949","4,807","9,712","16,468"
Lawnside borough,2015,"2,610","4,214","13,083","19,907"
Delaware township,2020,"5,636","1,206","8,556","15,397"
Elk township,2015,"1,101","2,323","16,383","19,808"
Lebanon borough,2020,"1,280","3,183","18,965","23,427"
Highlands borough,2020,"4,292","4,370","18,049","26,711"
Kingwood township,2020,"4,233",439,"10,966","15,638"
Fairfield township,2020,903,"2,100","18,497","21,500"
Spring Lake borough,2020,"5,609","9,973","8,667","24,250"
Shrewsbury township,2015,397,896,"26,276","27,569"
Mount Ephraim borough,2020,"3,397","5,785","16,143","25,325"
Alloway township,2020,"2,515",71,"13,638","16,224"
Delanco township,2015,"4,444","7,454","11,792","23,690"
Monmouth Beach borough,2020,"4,716","7,491","10,898","23,105"
Stanhope borough,2015,"4,102",NDA,"15,860","19,963"
Wildwood Crest Borough,2020,"6,880","9,160","2,780","18,820"
Port Republic city,2015,"1,916",51,"24,591","26,558"
Quinton township,2020,"1,819",7,"21,409","23,234"
Fairfield township,2015,"1,306","2,189","14,905","18,401"
Penns Grove borough,2020,"5,188","5,554","5,544","16,287"
Weymouth township,2015,"2,947",825,"20,877","24,649"
Bradley Beach borough,2020,"3,771","7,753","12,570","24,094"
South Hackensack township,2020,"1,374","3,445",NDA,"4,820"
Gibbsboro borough,2020,"1,818","3,411","14,464","19,693"
East Amwell township,2020,"4,524","1,941","10,391","16,856"
Lower Alloways Creek township,2015,652,NDA,"21,723","22,375"
Mount Ephraim borough,2015,"3,946","6,453","12,057","22,455"
Pennington borough,2015,"2,616","4,566","13,829","21,011"
Woodbury Heights borough,2020,"2,536","3,863","16,472","22,870"
Highlands borough,2015,"4,770","6,990","10,449","22,208"
Bradley Beach borough,2015,"4,144","8,896","8,593","21,634"
Monmouth Beach borough,2015,"5,072","8,006","8,687","21,765"
Downe township,2015,"1,783","1,153","2,862","5,798"
West Amwell township,2015,"3,595","1,250","12,962","17,807"
Estell Manor city,2020,"1,518",243,"15,276","17,037"
Tuckerton borough,2020,"5,783","5,015","7,934","18,733"
Alexandria township,2020,"5,381",NDA,"13,312","18,692"
Gibbsboro borough,2015,"2,236","3,970","9,350","15,557"
Oxford township,2020,"2,118","2,288","10,916","15,322"
Fredon township,2015,"3,933",415,"11,303","15,652"
Lafayette township,2020,"1,563",223,"14,429","16,214"
Franklin township,2020,"3,067","3,990","9,974","17,031"
Franklin township,2015,"3,615",763,"12,153","16,532"
Hamburg borough,2015,"3,835","2,984","11,604","18,422"
Lawrence township,2020,"2,114","1,177","12,481","15,773"
Knowlton township,2020,"3,077",NDA,"8,134","11,211"
Weymouth township,2020,"2,442",778,"19,386","22,606"
Hardwick township,2015,"1,855",NDA,"16,705","18,560"
Prospect Park borough,2020,"2,827","8,962","11,449","23,238"
Hopewell borough,2020,"1,493","5,198","11,002","17,692"
Alpine borough,2015,"5,311","12,648","6,379","24,338"
Woodbury Heights borough,2015,"2,958","4,479","11,480","18,917"
Deerfield township,2020,"1,968","2,112","11,187","15,268"
Alpha borough,2020,"1,880","3,613","10,510","16,003"
Fredon township,2020,"3,418",680,"10,461","14,558"
South Bound Brook borough,2020,"3,049","5,601","12,960","21,610"
Prospect Park borough,2015,"3,100","9,596","8,243","20,940"
Estell Manor city,2015,"2,000",257,"12,649","14,906"
Lafayette township,2015,"1,840",88,"11,963","13,891"
Mine Hill township,2020,"3,021","3,839","12,526","19,386"
Alloway township,2015,"3,251",32,"9,783","13,066"
Merchantville borough,2020,"2,841","5,748","11,280","19,870"
Oaklyn borough,2020,"2,946","5,332","11,677","19,955"
Merchantville borough,2015,"3,222","6,718","8,767","18,708"
Alpha borough,2015,"2,101","1,971","10,647","14,719"
Montague township,2015,"4,659",NDA,"9,414","14,073"
Rockleigh borough,2015,445,"1,129","17,202","18,776"
Lebanon borough,2015,"1,478","1,757","14,107","17,342"
Elmer borough,2015,"8,204","1,721","3,758","13,682"
Alpine borough,2020,"4,522","11,643","4,882","21,047"
Sea Girt borough,2015,"3,920","8,065","7,679","19,664"
Stanhope borough,2020,"3,491",NDA,"11,891","15,382"
Harmony township,2020,"2,582",8,"9,121","11,711"
Mine Hill township,2015,"3,489","3,668","9,742","16,899"
Oaklyn borough,2015,"3,363","6,068","9,151","18,583"
Lawrence township,2015,"2,583","1,017","9,630","13,230"
Farmingdale borough,2020,"1,242","2,142","16,086","19,470"
South Bound Brook borough,2015,"3,543","6,426","9,100","19,069"
Oxford township,2015,"2,397","1,396","11,809","15,602"
Elmer borough,2020,"6,441","1,574","5,987","14,002"
Sea Girt borough,2020,"3,727","7,451","7,652","18,830"
Farmingdale borough,2015,"1,393","2,322","13,759","17,475"
Woodland township,2015,"1,735",NDA,"11,827","13,562"
Hope township,2015,"2,294",NDA,"9,474","11,768"
Liberty township,2015,"3,075",NDA,"9,679","12,754"
Harmony township,2015,"2,882",NDA,"9,302","12,184"
Hopewell township,2020,112,"1,594","10,889","12,595"
Bass River township,2015,"1,573",189,"10,145","11,907"
Liberty township,2020,"2,783",NDA,"7,712","10,495"
Ogdensburg borough,2020,"1,908","1,074","11,363","14,345"
Downe township,2020,"1,288",904,"3,131","5,323"
Frelinghuysen township,2015,"2,565",NDA,"8,114","10,679"
South Toms River borough,2020,"2,225","4,479","8,381","15,085"
Lower Alloways Creek township,2020,442,NDA,"13,314","13,756"
Newfield borough,2015,"4,390","3,920","6,752","15,063"
Hopewell borough,2015,"1,724","2,862","8,458","13,044"
