Municipality,Year, Total_Personal_Vehicles,#_of_EVs
South Bound Brook borough,2020,"2,891",19
Mount Ephraim borough,2015,"2,886",1
Lambertville city,2020,"2,880",36
Pilesgrove township,2015,"2,877",1
Garwood borough,2020,"2,860",12
Magnolia borough,2020,"2,846",9
Wildwood city,2015,"2,840",2
Ho-Ho-Kus borough,2020,"2,826",50
Franklin township,2020,"2,825",26
Elk township,2015,"2,824",3
Oaklyn borough,2020,"2,819",13
Shrewsbury borough,2020,"2,800",23
Cranbury township,2020,"2,797",43
Elk township,2020,"2,789",19
Bordentown city,2020,"2,779",19
Alloway township,2020,"2,766",7
Bradley Beach borough,2020,"2,751",23
Saddle River borough,2020,"2,750",83
Pohatcong township,2020,"2,740",6
Ho-Ho-Kus borough,2015,"2,735",7
North Wildwood city,2020,"2,724",47
North Wildwood city,2015,"2,718",2
Oaklyn borough,2015,"2,709",2
Cranbury township,2015,"2,693",3
Shrewsbury borough,2015,"2,685",5
Montague township,2015,"2,681",2
High Bridge borough,2020,"2,680",13
High Bridge borough,2015,"2,677",0
Springfield township,2020,"2,677",11
Westville borough,2015,"2,659",1
Magnolia borough,2015,"2,658",3
Prospect Park borough,2015,"2,634",2
South Bound Brook borough,2015,"2,634",3
Flemington borough,2020,"2,617",40
Franklin township,2015,"2,612",4
Wildwood Crest borough,2020,"2,610",29
Green township,2020,"2,592",11
Long Beach township,2015,"2,591",2
Stanhope borough,2015,"2,584",1
Bordentown city,2015,"2,583",4
Springfield township,2015,"2,572",1
Mine Hill township,2020,"2,549",7
Westville borough,2020,"2,545",5
Monmouth Beach borough,2020,"2,539",69
Monmouth Beach borough,2015,"2,518",3
Fredon township,2020,"2,516",8
Upper Pittsgrove township,2020,"2,506",11
Green township,2015,"2,492",2
Prospect Park borough,2020,"2,489",11
Saddle River borough,2015,"2,487",8
Long Beach township,2020,"2,486",21
Pohatcong township,2015,"2,480",1
Alloway township,2015,"2,475",1
Tuckerton borough,2020,"2,475",9
Franklin township,2020,"2,471",12
Upper Pittsgrove township,2015,"2,457",2
Weymouth township,2020,"2,456",5
Fredon township,2015,"2,453",1
Franklin township,2015,"2,424",2
Spring Lake borough,2020,"2,412",26
Stanhope borough,2020,"2,409",7
Woodstown borough,2015,"2,396",1
Netcong borough,2020,"2,389",5
Flemington borough,2015,"2,383",4
Wildwood city,2020,"2,382",48
Knowlton township,2020,"2,377",9
West Amwell township,2020,"2,373",21
Egg Harbor City city,2015,"2,365",2
Woodstown borough,2020,"2,362",15
Hamburg borough,2015,"2,359",2
Haworth borough,2015,"2,358",2
Wildwood Crest borough,2015,"2,345",1
Hamburg borough,2020,"2,337",11
Liberty township,2020,"2,313",5
West Amwell township,2015,"2,305",3
Haworth borough,2020,"2,289",30
Woodbury Heights borough,2020,"2,285",6
Merchantville borough,2015,"2,262",2
Tuckerton borough,2015,"2,256",2
South Harrison township,2015,"2,251",2
Mine Hill township,2015,"2,249",0
Spring Lake borough,2015,"2,218",3
South Harrison township,2020,"2,215",17
Knowlton township,2015,"2,211",1
Penns Grove borough,2020,"2,209",7
Harmony township,2020,"2,198",4
Maurice River township,2015,"2,178",0
Netcong borough,2015,"2,178",0
Lawrence township,2020,"2,164",7
South Toms River borough,2020,"2,154",3
Liberty township,2015,"2,133",1
Merchantville borough,2020,"2,120",12
National Park borough,2020,"2,076",2
Woodbury Heights borough,2015,"2,070",2
Penns Grove borough,2015,"2,061",0
Salem city,2020,"2,056",9
Deerfield township,2015,"2,052",1
Salem city,2015,"2,046",1
Egg Harbor City city,2020,"2,041",12
Lawrence township,2015,"2,034",0
Harmony township,2015,"2,031",1
South Toms River borough,2015,"2,029",0
Weymouth township,2015,"2,012",1
Quinton township,2020,"2,002",3
Clinton town,2020,"1,993",26
Deerfield township,2020,"1,983",6
Cape May city,2020,"1,971",32
Oxford township,2020,"1,957",4
Riverton borough,2015,"1,943",2
New Hanover township,2020,"1,913",9
Riverton borough,2020,"1,913",12
Lawnside borough,2020,"1,906",6
Quinton township,2015,"1,872",0
Cape May city,2015,"1,855",2
Maurice River township,2020,"1,850",2
Frelinghuysen township,2015,"1,836",1
Lakehurst borough,2020,"1,819",6
National Park borough,2015,"1,809",0
Pine Beach borough,2020,"1,788",5
Peapack and Gladstone borough,2015,"1,787",6
Lavallette borough,2020,"1,785",6
Pennington borough,2015,"1,779",6
Peapack and Gladstone borough,2020,"1,751",30
Ogdensburg borough,2015,"1,743",0
Alpha borough,2020,"1,741",4
Sea Isle City city,2020,"1,741",39
Pennington borough,2020,"1,734",55
Lafayette township,2015,"1,731",1
Oxford township,2015,"1,730",1
Belvidere town,2015,"1,721",0
Helmetta borough,2020,"1,713",10
Clinton town,2015,"1,671",2
Belvidere town,2020,"1,661",4
Essex Fells borough,2015,"1,633",2
Lafayette township,2020,"1,631",6
Wenonah borough,2015,"1,616",1
Pine Beach borough,2015,"1,608",0
Lavallette borough,2015,"1,597",1
Wenonah borough,2020,"1,593",8
Hope township,2020,"1,590",7
Moonachie borough,2015,"1,587",1
Ogdensburg borough,2020,"1,580",1
Swedesboro borough,2020,"1,570",16
Seaside Park borough,2020,"1,563",11
Gibbsboro borough,2020,"1,557",8
Alpha borough,2015,"1,552",1
Frelinghuysen township,2020,"1,552",7
Lawnside borough,2015,"1,547",0
Helmetta borough,2015,"1,546",1
Gibbsboro borough,2015,"1,535",1
Lakehurst borough,2015,"1,524",2
Sandyston township,2015,"1,519",1
Sandyston township,2020,"1,519",6
Lebanon borough,2020,"1,511",17
Swedesboro borough,2015,"1,510",1
Essex Fells borough,2020,"1,496",37
Beverly city,2015,"1,480",1
Hope township,2015,"1,471",1
Moonachie borough,2020,"1,461",7
Beverly city,2020,"1,449",3
Seaside Heights borough,2020,"1,432",8
Woodbine borough,2020,"1,431",5
Seaside Heights borough,2015,"1,428",1
Hopewell borough,2015,"1,424",6
South Hackensack township,2020,"1,424",6
Avon-by-the-Sea borough,2015,"1,423",1
South Hackensack township,2015,"1,415",0
Ocean Gate borough,2015,"1,410",0
Sea Isle City city,2015,"1,398",0
Lower Alloways Creek township,2020,"1,391",2
Avon-by-the-Sea borough,2020,"1,365",12
Allentown borough,2020,"1,361",18
Seaside Park borough,2015,"1,357",0
Sea Girt borough,2020,"1,350",26
Sea Girt borough,2015,"1,349",2
Lebanon borough,2015,"1,347",2
Allentown borough,2015,"1,344",2
Lake Como borough,2020,"1,336",10
Hopewell borough,2020,"1,330",34
Oldmans township,2015,"1,316",0
Avalon borough,2020,"1,311",54
Woodland township,2020,"1,295",6
Island Heights borough,2020,"1,289",9
Folsom borough,2015,"1,283",1
Laurel Springs borough,2020,"1,275",3
Island Heights borough,2015,"1,273",2
Englishtown borough,2015,"1,271",1
Laurel Springs borough,2015,"1,267",0
Estell Manor city,2020,"1,254",3
Estell Manor city,2015,"1,249",0
Avalon borough,2015,"1,232",1
Glen Gardner borough,2015,"1,231",2
Glen Gardner borough,2020,"1,230",10
Oldmans township,2020,"1,229",8
Brooklawn borough,2020,"1,226",3
Englishtown borough,2020,"1,223",15
Lower Alloways Creek township,2015,"1,208",0
Sussex borough,2020,"1,204",6
Eagleswood township,2015,"1,187",0
Alpine borough,2015,"1,185",11
Winfield township,2020,"1,181",4
Stow Creek township,2015,"1,175",0
Sussex borough,2015,"1,161",1
New Hanover township,2015,"1,160",1
Woodbine borough,2015,"1,159",1
Hardwick township,2020,"1,152",6
Folsom borough,2020,"1,150",5
Pemberton borough,2020,"1,150",5
Eagleswood township,2020,"1,148",6
Newfield borough,2015,"1,132",1
Brooklawn borough,2015,"1,131",0
Sea Bright borough,2015,"1,108",8
Port Republic city,2020,"1,104",7
Frenchtown borough,2015,"1,101",1
Hardwick township,2015,"1,099",1
Alpine borough,2020,"1,095",56
Surf City borough,2020,"1,094",6
Newfield borough,2020,"1,093",5
Woodlynne borough,2020,"1,093",7
Woodlynne borough,2015,"1,086",1
Bass River township,2015,"1,080",0
Lake Como borough,2015,"1,054",1
Bass River township,2020,"1,051",4
Downe township,2015,"1,041",1
Chester borough,2020,"1,040",27
Sea Bright borough,2020,"1,040",33
Ocean Gate borough,2020,"1,037",3
Pemberton borough,2015,"1,032",1
Mannington township,2020,"1,026",3
Woodland township,2015,"1,020",0
Milford borough,2020,"1,011",4
Farmingdale borough,2015,"1,009",3
Chester borough,2015,981,3
Chesilhurst borough,2015,976,0
Mannington township,2015,975,0
Hampton borough,2020,973,6
Winfield township,2015,970,1
Frenchtown borough,2020,966,7
Elmer borough,2015,960,1
Shrewsbury township,2020,942,6
Surf City borough,2015,939,1
Elmer borough,2020,932,8
Califon borough,2020,923,9
Hampton borough,2015,907,1
Farmingdale borough,2020,900,15
Ship Bottom borough,2020,888,8
Chesilhurst borough,2020,874,3
Victory Gardens borough,2020,867,2
Milford borough,2015,865,1
Downe township,2020,858,2
Elsinboro township,2015,836,0
Califon borough,2015,834,1
East Newark borough,2020,819,4
Stow Creek township,2020,815,2
Bay Head borough,2020,811,9
East Newark borough,2015,805,0
Beach Haven borough,2015,802,1
Far Hills borough,2015,800,4
Beach Haven borough,2020,797,7
Audubon Park borough,2020,792,3
West Cape May borough,2020,789,9
Hi-Nella borough,2020,778,3
Branchville borough,2020,766,2
Ship Bottom borough,2015,766,1
Victory Gardens borough,2015,764,0
Port Republic city,2015,759,1
Bay Head borough,2015,756,1
Stone Harbor borough,2020,749,24
Greenwich township,2015,747,0
Audubon Park borough,2015,743,0
Longport borough,2015,735,1
Far Hills borough,2020,727,36
Elsinboro township,2020,711,2
Bloomsbury borough,2020,709,4
Longport borough,2020,706,9
Shrewsbury township,2015,693,1
Interlaken borough,2015,667,0
Interlaken borough,2020,657,4
West Cape May borough,2015,652,1
Stone Harbor borough,2015,648,1
Washington township,2015,642,0
Roosevelt borough,2020,589,5
Bloomsbury borough,2015,583,1
Fieldsboro borough,2020,562,2
Andover borough,2020,551,14
Corbin City city,2020,543,1
Deal borough,2015,542,0
Branchville borough,2015,526,0
Roosevelt borough,2015,526,0
Andover borough,2015,525,2
Barnegat Light borough,2015,511,0
Washington township,2020,499,2
Hi-Nella borough,2015,498,1
Stockton borough,2020,474,4
Millstone borough,2020,441,4
Rocky Hill borough,2015,440,1
Stockton borough,2015,436,1
Rocky Hill borough,2020,434,10
Fieldsboro borough,2015,432,0
Barnegat Light borough,2020,415,7
Greenwich township,2020,413,1
Wrightstown borough,2015,404,0
Harvey Cedars borough,2020,388,3
Shiloh borough,2015,388,0
Wrightstown borough,2020,384,6
Mantoloking borough,2020,381,4
Deal borough,2020,363,37
Harvey Cedars borough,2015,357,0
Corbin City city,2015,350,0
Allenhurst borough,2015,343,0
West Wildwood borough,2015,331,0
Allenhurst borough,2020,327,13
Millstone borough,2015,314,0
West Wildwood borough,2020,313,6
Mantoloking borough,2015,286,0
Shiloh borough,2020,271,1
Cape May Point borough,2015,185,0
Rockleigh borough,2020,174,2
Rockleigh borough,2015,164,0
Loch Arbour village,2020,148,6
Cape May Point borough,2020,135,7
Loch Arbour village,2015,132,0
Teterboro borough,2015,53,0
Teterboro borough,2020,49,1
Pine Valley borough,2020,13,#N/A
Walpack township,2020,8,1
Tavistock borough,2015,6,0
Tavistock borough,2020,6,1
Walpack township,2015,5,0
Pine Valley borough,2015,2,0
