Municipality,Year, Total_Personal_Vehicles,#_of_EVs
Barnegat township,2020,"16,490",46
East Windsor township,2015,"16,438",16
Medford township,2015,"16,389",23
Mahwah township,2015,"16,288",12
Hamilton township,2015,"16,283",9
Millville city,2015,"16,275",10
Lower township,2020,"16,172",94
Morris township,2020,"16,169",165
Scotch Plains township,2015,"16,037",15
Montville township,2020,"16,031",201
Roxbury township,2015,"15,971",9
Rahway city,2015,"15,960",9
Cranford township,2015,"15,906",14
Raritan township,2015,"15,877",14
Ridgewood village,2020,"15,805",291
Jefferson township,2020,"15,765",57
Ridgewood village,2015,"15,735",24
Little Egg Harbor township,2020,"15,732",43
Jefferson township,2015,"15,646",10
South Plainfield borough,2015,"15,601",8
Morris township,2015,"15,584",20
Montgomery township,2020,"15,454",383
West New York town,2020,"15,432",94
Lower township,2015,"15,385",6
Bergenfield borough,2020,"15,318",71
Lyndhurst township,2020,"15,267",43
Princeton,2020,"15,263",450
Burlington township,2020,"15,220",58
Bergenfield borough,2015,"15,182",13
Montville township,2015,"15,160",15
Englewood city,2015,"15,117",20
West New York town,2015,"15,049",4
Plainsboro township,2015,"15,022",21
West Deptford township,2015,"14,963",3
Montgomery township,2015,"14,935",35
Plainsboro township,2020,"14,771",249
New Brunswick city,2015,"14,721",10
Princeton,2015,"14,615",54
Moorestown township,2020,"14,601",250
West Deptford township,2020,"14,484",44
Aberdeen township,2020,"14,375",64
Point Pleasant borough,2020,"14,322",73
Barnegat township,2015,"14,320",5
Little Egg Harbor township,2015,"14,316",7
Moorestown township,2015,"14,311",23
Burlington township,2015,"14,191",10
Hazlet township,2020,"14,045",53
Cliffside Park borough,2020,"14,008",57
Summit city,2020,"13,912",224
Hazlet township,2015,"13,764",8
Sparta township,2020,"13,629",132
Sparta township,2015,"13,563",18
Lodi borough,2020,"13,523",41
Lodi borough,2015,"13,518",6
Carteret borough,2020,"13,471",29
Cliffside Park borough,2015,"13,423",5
Atlantic City city,2020,"13,353",32
Washington township,2015,"13,313",13
Maplewood township,2020,"13,259",208
Carteret borough,2015,"13,234",3
Hopewell township,2015,"13,216",26
Point Pleasant borough,2015,"13,208",10
Washington township,2020,"13,124",96
Middle township,2020,"13,110",60
Millburn township,2020,"13,020",414
Summit city,2015,"13,018",32
North Plainfield borough,2020,"13,007",35
Morristown town,2020,"12,924",170
Readington township,2020,"12,780",97
Lyndhurst township,2015,"12,696",4
Hawthorne borough,2020,"12,681",52
Readington township,2015,"12,675",15
Hopewell township,2020,"12,631",205
Maplewood township,2015,"12,606",22
Maple Shade township,2015,"12,599",5
Hillside township,2020,"12,545",28
Maple Shade township,2020,"12,503",33
Millburn township,2015,"12,477",26
Tinton Falls borough,2020,"12,388",65
Holmdel township,2020,"12,341",202
Denville township,2015,"12,274",12
Franklin township,2020,"12,255",45
Aberdeen township,2015,"12,240",7
Middle township,2015,"12,138",11
Denville township,2020,"12,134",128
Hawthorne borough,2015,"12,032",6
Springfield township,2020,"12,027",70
North Plainfield borough,2015,"11,991",7
Elmwood Park borough,2015,"11,958",4
Cinnaminson township,2020,"11,917",77
Secaucus town,2020,"11,820",107
Hillside township,2015,"11,814",5
Dumont borough,2020,"11,788",48
Tinton Falls borough,2015,"11,725",7
Elmwood Park borough,2020,"11,719",34
Cinnaminson township,2015,"11,661",11
Wyckoff township,2015,"11,639",9
Franklin township,2015,"11,612",10
Wyckoff township,2020,"11,582",119
Springfield township,2015,"11,511",4
Delran township,2020,"11,504",37
Roselle borough,2020,"11,487",21
Atlantic City city,2015,"11,389",3
Warren township,2020,"11,357",258
Holmdel township,2015,"11,350",25
Glassboro borough,2020,"11,346",33
Dumont borough,2015,"11,333",5
Clark township,2020,"11,316",56
City of Orange township,2020,"11,311",23
Hopatcong borough,2020,"11,159",39
Branchburg township,2020,"11,119",63
Rutherford borough,2015,"11,083",6
Rutherford borough,2020,"10,961",70
Hopatcong borough,2015,"10,925",4
Delran township,2015,"10,852",6
Warren township,2015,"10,844",29
Glassboro borough,2015,"10,829",4
Mantua township,2015,"10,726",5
Hanover township,2020,"10,681",83
Roselle borough,2015,"10,664",3
Ramsey borough,2015,"10,570",13
Mantua township,2020,"10,543",51
Pequannock township,2020,"10,526",38
Pequannock township,2015,"10,514",2
Palisades Park borough,2020,"10,493",72
North Arlington borough,2020,"10,464",34
Morristown town,2015,"10,434",21
Ramsey borough,2020,"10,392",84
Branchburg township,2015,"10,341",10
City of Orange township,2015,"10,257",2
Clark township,2015,"10,246",5
New Milford borough,2015,"10,231",5
New Milford borough,2020,"10,211",54
Madison borough,2020,"10,100",147
Secaucus town,2015,"10,098",13
Hanover township,2015,"10,005",13
Palisades Park borough,2015,"9,964",3
Robbinsville township,2020,"9,874",128
Haddon township,2020,"9,835",80
Little Falls township,2020,"9,770",40
Lindenwold borough,2020,"9,753",27
Madison borough,2015,"9,726",15
South River borough,2015,"9,674",7
Robbinsville township,2015,"9,667",11
North Arlington borough,2015,"9,560",5
Haddon township,2015,"9,557",11
Lindenwold borough,2015,"9,546",4
Upper township,2020,"9,527",39
Hammonton town,2015,"9,456",9
Saddle Brook township,2015,"9,434",1
South River borough,2020,"9,404",33
Pennsville township,2015,"9,387",5
Hammonton town,2020,"9,278",43
Upper township,2015,"9,243",9
Collingswood borough,2020,"9,239",67
Pleasantville city,2020,"9,236",7
Verona township,2020,"9,179",81
Pleasantville city,2015,"9,155",1
Dover town,2020,"9,152",19
Middlesex borough,2015,"9,150",1
Middlesex borough,2020,"9,146",23
Berkeley Heights township,2020,"9,120",134
Pennsville township,2020,"9,086",16
Oakland borough,2015,"9,035",5
Florence township,2020,"9,006",40
New Providence borough,2020,"9,004",103
Ringwood borough,2020,"8,988",59
Metuchen borough,2020,"8,978",84
Clinton township,2020,"8,970",76
Phillipsburg town,2020,"8,960",22
Florence township,2015,"8,951",5
Harrison township,2020,"8,938",80
