Municipality,Year,Res_Electricity_EE,Total_Electricity,Res_Natural_Gas_EE,Total_Natural_Gas
Glassboro borough,2015,"60,054,795","60,054,795","4,306,391","4,306,391"
Glassboro borough,2020,"57,372,803","57,372,803","3,874,753","3,874,753"
Glen Gardner borough,2020,"6,337,984","8,965,830","602,414","602,414"
Glen Gardner borough,2015,"6,422,378","8,935,962","335,456","335,456"
Glen Ridge borough,2015,"26,384,708","56,085,645","3,554,908","3,554,908"
Glen Ridge borough,2020,"26,688,598","54,722,422","3,207,202","3,207,202"
Glen Rock borough,2015,"42,447,563","70,944,234","5,444,279","5,444,279"
Glen Rock borough,2020,"41,931,415","64,013,571","4,836,899","4,836,899"
Gloucester City city,2015,"34,068,289","77,826,598","2,712,389","2,712,389"
Gloucester City city,2020,"35,056,337","74,224,184","2,528,529","2,528,529"
Gloucester township,2015,"184,076,889","277,741,117","15,253,465","15,253,465"
Gloucester township,2020,"171,364,714","255,780,256","13,246,507","13,246,507"
Green Brook township,2015,"26,388,884","57,701,361","2,854,754","2,854,754"
Green Brook township,2020,"26,042,799","52,468,960","2,500,289","2,500,289"
Green township,2015,"19,167,313","27,302,410",NDA,0
Green township,2020,"18,985,613","27,476,557",NDA,0
Greenwich township,2020,"20,841,472","45,327,352","2,572,650","2,572,650"
Greenwich township,2015,"20,647,153","48,723,258","1,470,186","1,470,186"
Greenwich township,2015,"3,571,116","3,571,116","939,007","939,007"
Greenwich township,2020,"3,208,779","3,208,779","895,240","895,240"
Greenwich township,2015,"18,635,785","18,635,785","377,539","377,539"
Greenwich township,2020,"17,081,101","17,081,101","358,621","358,621"
Guttenberg town,2015,"17,618,501","51,632,295","1,486,417","1,486,417"
Guttenberg town,2020,"17,563,886","48,491,766","1,335,734","1,335,734"
Hackensack city,2015,"118,729,590","468,287,802","6,553,956","6,553,956"
Hackensack city,2020,"116,386,412","429,048,809","5,794,004","5,794,004"
Hackettstown town,2020,"30,939,950","75,706,908","2,867,249","2,867,249"
Hackettstown town,2015,"31,491,276","83,529,775","1,720,946","1,720,946"
Haddon Heights borough,2015,"26,895,040","41,757,350","2,439,862","2,439,862"
Haddon Heights borough,2020,"26,982,608","40,789,057","2,146,940","2,146,940"
Haddon township,2015,"46,962,369","121,533,766","4,165,478","4,165,478"
Haddon township,2020,"48,397,195","115,117,455","3,677,553","3,677,553"
Haddonfield borough,2015,"51,247,525","78,812,498","4,684,194","4,684,194"
Haddonfield borough,2020,"51,455,792","72,684,902","4,114,067","4,114,067"
Hainesport township,2015,"25,880,154","46,382,170","1,656,555","1,656,555"
Hainesport township,2020,"24,555,397","39,425,960","1,470,871","1,470,871"
Haledon borough,2015,"19,028,151","44,375,449","3,316,035","3,316,035"
Haledon borough,2020,"19,430,693","42,604,690","2,373,194","2,373,194"
Hamburg borough,2020,"14,299,751","23,885,090","1,053,763","1,053,763"
Hamburg borough,2015,"15,139,873","26,162,487","560,250","560,250"
Hamilton township,2015,"295,575,818","693,522,122","25,294,705","25,294,705"
Hamilton township,2020,"286,678,779","619,394,592","22,658,831","22,658,831"
Hamilton township,2015,"138,209,845","138,209,845","5,591,796","5,591,796"
Hamilton township,2020,"125,215,178","125,215,178","5,105,559","5,105,559"
Hammonton town,2015,"71,835,407","71,835,407","3,524,322","3,524,322"
Hammonton town,2020,"62,908,143","62,908,143","3,191,593","3,191,593"
Hampton borough,2020,"6,373,387","9,057,388","200,748","200,748"
Hampton borough,2015,"6,230,038","9,606,479","79,532","79,532"
Hampton township,2020,"21,580,499","37,379,239","535,820","535,820"
Hampton township,2015,"21,942,403","41,917,309","327,307","327,307"
Hanover township,2015,"52,270,640","265,190,953","5,718,500","5,718,500"
Hanover township,2020,"51,653,239","239,473,259","5,187,422","5,187,422"
Harding township,2015,"34,235,195","54,212,615","3,319,514","3,319,514"
Harding township,2020,"33,158,003","50,914,298","3,301,855","3,301,855"
Hardwick township,2015,"7,325,332","9,706,199",NDA,0
Hardwick township,2020,"7,088,504","9,082,797",NDA,0
Hardyston township,2020,"30,681,457","45,263,392","2,405,687","2,405,687"
Hardyston township,2015,"30,798,349","54,546,977","1,305,071","1,305,071"
Harmony township,2020,"11,562,227","15,401,433","1,553","1,553"
Harmony township,2015,"11,378,840","14,953,604",NDA,0
Harrington Park borough,2015,"18,146,280","18,146,280","2,477,634","2,477,634"
Harrington Park borough,2020,"17,786,479","21,411,924","2,142,799","2,142,799"
Harrison town,2015,"28,024,057","91,373,018","3,326,462","3,326,462"
Harrison town,2020,"39,851,191","105,532,784","3,042,170","3,042,170"
Harrison township,2015,"70,748,169","70,748,169","4,668,077","4,668,077"
Harrison township,2020,"65,524,260","65,524,260","4,098,976","4,098,976"
Harvey Cedars borough,2020,"9,820,313","9,820,313","5,052,626","5,052,626"
Harvey Cedars borough,2015,"8,269,115","8,269,115","472,576","472,576"
Hasbrouck Heights borough,2015,"37,129,668","74,639,683","3,980,497","3,980,497"
Hasbrouck Heights borough,2020,"35,705,252","65,476,261","3,481,277","3,481,277"
Haworth borough,2015,"13,969,048","69,259,473","1,973,447","1,973,447"
Haworth borough,2020,"14,239,381","67,070,741","1,763,748","1,763,748"
Hawthorne borough,2015,"57,403,018","114,964,355","6,905,040","6,905,040"
Hawthorne borough,2020,"57,136,849","104,719,146","6,342,351","6,342,351"
Hazlet township,2015,"64,989,341","126,818,501","5,531,426","5,531,426"
Hazlet township,2020,"59,736,470","109,546,330","1,593,113","1,593,113"
Helmetta borough,2015,"6,938,141","8,480,839","701,768","701,768"
Helmetta borough,2020,"8,026,745","9,788,202","625,562","625,562"
Hi-Nella borough,2015,"2,161,108","2,940,528","94,611","94,611"
Hi-Nella borough,2020,"2,442,955","3,040,227","81,705","81,705"
High Bridge borough,2020,"15,776,251","28,544,087","679,732","679,732"
High Bridge borough,2015,"15,727,265","29,718,430","317,222","317,222"
Highland Park borough,2015,"36,363,136","60,538,196","3,339,663","3,339,663"
Highland Park borough,2020,"38,498,680","60,067,246","3,047,068","3,047,068"
Highlands borough,2015,"18,833,032","30,720,047","1,312,304","1,312,304"
Highlands borough,2020,"19,221,447","31,624,427","820,440","820,440"
Hightstown borough,2015,"15,846,958","42,873,572","1,804,482","1,804,482"
Hightstown borough,2020,"15,530,882","40,479,282","1,601,618","1,601,618"
Hillsborough township,2015,"151,345,602","281,944,960","11,329,424","11,329,424"
Hillsborough township,2020,"148,904,607","278,206,651","10,753,434","10,753,434"
Hillsdale borough,2015,"36,748,033","59,818,542","4,455,288","4,455,288"
Hillsdale borough,2020,"36,504,705","54,249,404","4,014,421","4,014,421"
Hillside township,2020,"52,768,282","141,334,765","10,640,132","10,640,132"
Hillside township,2015,"51,311,701","130,399,085","6,010,523","6,010,523"
Ho-Ho-Kus borough,2015,"19,975,829","27,639,089","2,552,274","2,552,274"
Ho-Ho-Kus borough,2020,"19,837,485","26,454,560","2,317,423","2,317,423"
Hoboken city,2015,"157,234,366","410,165,695","5,909,888","5,909,888"
Hoboken city,2020,"149,222,929","377,945,339","4,878,155","4,878,155"
Holland township,2020,"24,256,423","32,319,737","308,585","308,585"
Holland township,2015,"24,625,169","32,980,873","175,658","175,658"
Holmdel township,2015,"81,460,919","180,517,118","7,493,029","7,493,029"
Holmdel township,2020,"80,733,005","180,221,082","7,239,315","7,239,315"
Hopatcong borough,2020,"64,287,345","73,705,774",NDA,0
Hopatcong borough,2015,"61,531,092","72,079,820",NDA,0
