Municipality,Year,Res_Electricity_EE,Total_Electricity,Res_Natural_Gas_EE,Total_Natural_Gas
Milltown borough,2020,"100,942","100,942","2,248,181","2,248,181"
Millville city,2015,"120,628,128","120,628,128","6,077,969","6,077,969"
Millville city,2020,"108,463,232","108,463,232","5,359,384","5,359,384"
Mine Hill township,2020,"13,528,475","18,277,458","720,696","720,696"
Mine Hill township,2015,"13,775,653","18,785,641","688,602","688,602"
Monmouth Beach borough,2015,"20,024,897","33,214,124","1,503,156","1,503,156"
Monmouth Beach borough,2020,"21,118,922","33,005,557","1,406,496","1,406,496"
Monroe township,2020,"230,216,875","427,095,098","24,178,587","24,178,587"
Monroe township,2015,"233,500,973","459,300,806","15,628,364","15,628,364"
Monroe township,2015,"140,122,527","140,122,527","9,452,764","9,452,764"
Monroe township,2020,"124,748,972","124,748,972","8,358,685","8,358,685"
Montague township,2020,"19,323,541","24,239,717",NDA,0
Montague township,2015,"18,394,566","20,803,811",NDA,0
Montclair township,2015,"123,354,616","221,989,519","16,557,162","16,557,162"
Montclair township,2020,"126,151,636","209,712,845","14,694,265","14,694,265"
Montgomery township,2015,"86,576,450","168,163,566","8,605,659","8,605,659"
Montgomery township,2020,"87,398,281","153,926,058","7,931,554","7,931,554"
Montvale borough,2015,"32,821,051","135,900,817","3,802,149","3,802,149"
Montvale borough,2020,"33,095,853","111,581,104","3,575,363","3,575,363"
Montville township,2015,"96,719,675","196,891,503","7,963,929","7,963,929"
Montville township,2020,"93,933,433","192,425,422","7,746,615","7,746,615"
Moonachie borough,2015,"8,799,350","80,080,358","835,961","835,961"
Moonachie borough,2020,"8,452,744","72,724,506","723,167","723,167"
Moorestown township,2015,"97,575,942","339,433,975","8,331,836","8,331,836"
Moorestown township,2020,"95,403,091","319,776,154","7,416,575","7,416,575"
Morris Plains borough,2015,"20,210,866","102,059,241","2,427,243","2,427,243"
Morris Plains borough,2020,"20,745,048","83,641,057","2,220,114","2,220,114"
Morris township,2015,"89,090,832","230,605,307","9,902,064","9,902,064"
Morris township,2020,"87,653,597","169,632,809","9,222,379","9,222,379"
Morristown Town,2015,"60,437,033","302,662,366","5,170,639","5,170,639"
Morristown Town,2020,"61,039,462","253,954,885","4,717,076","4,717,076"
Mount Arlington borough,2020,"20,893,075","33,827,890","1,006,435","1,006,435"
Mount Arlington borough,2015,"19,159,033","33,333,422","902,502","902,502"
Mount Ephraim borough,2015,"15,577,878","24,266,319","1,211,563","1,211,563"
Mount Ephraim borough,2020,"15,213,582","23,306,497","1,086,133","1,086,133"
Mount Holly township,2015,"30,827,543","89,163,074","2,690,731","2,690,731"
Mount Holly township,2020,"30,986,574","87,814,829","2,408,730","2,408,730"
Mount Laurel township,2015,"174,641,680","535,496,133","11,969,162","11,969,162"
Mount Laurel township,2020,"173,411,322","474,477,289","10,536,077","10,536,077"
Mount Olive township,2020,"93,639,302","236,069,209","6,814,298","6,814,298"
Mount Olive township,2015,"91,106,378","241,888,481","5,210,453","5,210,453"
Mountain Lakes borough,2015,"20,041,724","38,294,419","2,334,078","2,334,078"
Mountain Lakes borough,2020,"19,693,476","34,529,319","2,212,715","2,212,715"
Mountainside borough,2020,"29,571,313","62,229,123","4,117,388","4,117,388"
Mountainside borough,2015,"29,489,758","64,979,864","2,561,153","2,561,153"
Mullica township,2020,"20,410,402","20,410,402","578,647","578,647"
Mullica township,2015,"23,884,866","23,884,866","576,343","576,343"
National Park borough,2015,"10,723,290","13,199,031","614,002","614,002"
National Park borough,2020,"10,515,513","12,717,601","559,922","559,922"
Neptune City borough,2015,"15,594,411","48,979,477","1,159,809","1,159,809"
Neptune City borough,2020,"15,088,859","52,567,021","1,057,371","1,057,371"
Neptune township,2015,"95,688,191","244,315,193","8,540,815","8,540,815"
Neptune township,2020,"93,251,162","223,422,485","7,699,110","7,699,110"
Netcong borough,2020,"10,391,519","18,364,785","380,236","380,236"
Netcong borough,2015,"10,394,818","19,274,923","242,401","242,401"
New Brunswick city,2015,"88,950,665","649,334,026","8,550,122","8,550,122"
New Brunswick city,2020,"89,373,686","589,256,172","7,494,032","7,494,032"
New Hanover township,2015,"15,220,299","179,326,110","730,511","730,511"
New Hanover township,2020,"13,491,371","150,005,158","624,135","624,135"
New Milford borough,2015,"47,890,083","63,702,111","5,058,371","5,058,371"
New Milford borough,2020,"47,451,473","62,631,563","4,402,531","4,402,531"
New Providence borough,2015,"46,007,464","94,490,526","4,974,455","4,974,455"
New Providence borough,2020,"43,975,738","80,943,500","4,439,690","4,439,690"
Newark city,2015,"474,453,865","2,658,352,351","60,541,463","60,541,463"
Newark city,2020,"511,222,644","2,639,677,868","56,875,053","56,875,053"
Newfield borough,2015,"17,334,783","17,334,783","736,070","736,070"
Newfield borough,2020,"15,803,431","15,803,431","663,799","663,799"
Newton town,2020,"25,220,316","82,954,185","1,999,062","1,999,062"
Newton town,2015,"25,386,427","93,893,705","1,166,284","1,166,284"
North Arlington borough,2015,"40,264,445","69,070,598","4,493,872","4,493,872"
North Arlington borough,2020,"39,854,868","64,220,390","4,081,961","4,081,961"
North Bergen township,2015,"116,347,090","412,139,248","10,983,987","10,983,987"
North Bergen township,2020,"119,274,066","395,508,447","9,953,308","9,953,308"
North Brunswick township,2015,"108,632,559","268,715,684","11,269,045","11,269,045"
North Brunswick township,2020,"108,063,390","252,705,510","10,097,243","10,097,243"
North Caldwell borough,2015,"33,854,765","43,199,104","4,140,275","4,140,275"
North Caldwell borough,2020,"33,763,770","41,468,843","3,798,030","3,798,030"
North Haledon borough,2015,"31,338,551","43,684,978","3,853,114","3,853,114"
North Haledon borough,2020,"31,132,115","42,230,148","3,565,811","3,565,811"
North Hanover township,2020,"17,614,768","24,773,243","78,848","78,848"
North Hanover township,2015,"19,060,174","26,439,783","70,826","70,826"
North Plainfield borough,2015,"49,807,220","82,627,500","5,020,624","5,020,624"
North Plainfield borough,2020,"49,372,472","80,569,652","4,702,154","4,702,154"
North Wildwood city,2015,"37,816,146","37,816,146","2,269,463","2,269,463"
North Wildwood city,2020,"37,610,268","37,610,268","1,891,463","1,891,463"
Northfield city,2015,"31,371,398","31,371,398","2,861,974","2,861,974"
Northfield city,2020,"27,728,861","27,728,861","2,445,429","2,445,429"
Northvale borough,2015,"14,323,172","53,843,624","1,975,910","1,975,910"
Northvale borough,2020,"14,655,067","48,794,292","1,744,695","1,744,695"
Norwood borough,2015,"21,648,927","39,711,900","2,923,763","2,923,763"
Norwood borough,2020,"21,150,506","35,377,811","2,631,946","2,631,946"
Nutley township,2015,"88,418,460","172,820,356","9,674,213","9,674,213"
Nutley township,2020,"86,690,781","142,985,128","8,591,700","8,591,700"
Oakland borough,2015,"46,895,283","97,111,966","5,525,166","5,525,166"
Oakland borough,2020,"45,743,771","85,570,609","5,048,438","5,048,438"
Oaklyn borough,2015,"13,277,087","17,569,927","1,139,362","1,139,362"
Oaklyn borough,2020,"13,192,903","17,316,844","1,001,191","1,001,191"
Ocean City city,2015,"126,884,097","126,884,097","8,110,062","8,110,062"
Ocean City city,2020,"124,295,042","124,295,042","6,634,373","6,634,373"
Ocean Gate borough,2015,"8,141,902","9,972,725","738,201","738,201"
Ocean Gate borough,2020,"8,991,223","10,475,357","685,372","685,372"
Ocean township,2015,"113,264,709","205,521,179","9,845,949","9,845,949"
Ocean township,2020,"111,160,618","188,370,635","8,892,615","8,892,615"
Ocean township,2020,"36,876,453","54,273,029","3,869,177","3,869,177"
Ocean township,2015,"36,603,721","58,741,911","3,246,878","3,246,878"
Oceanport borough,2015,"23,242,859","38,729,602","2,315,944","2,315,944"
Oceanport borough,2020,"23,892,453","40,933,823","2,224,632","2,224,632"
Ogdensburg borough,2020,"8,546,029","13,359,914","201,603","201,603"
Ogdensburg borough,2015,"9,345,463","13,158,544","3,198","3,198"
Old Bridge township,2015,"201,497,406","362,606,160","16,451,047","16,451,047"
Old Bridge township,2020,"194,091,576","329,995,147","15,367,691","15,367,691"
Old Tappan borough,2015,"29,344,986","29,441,925","3,605,853","3,605,853"
Old Tappan borough,2020,"28,563,026","35,663,728","3,295,832","3,295,832"
Oldmans township,2015,"8,991,164","8,991,164","264,859","264,859"
Oldmans township,2020,"7,151,490","7,151,490","228,711","228,711"
Oradell borough,2015,"31,138,720","53,101,309","3,766,517","3,766,517"
Oradell borough,2020,"29,545,878","46,974,358","3,295,240","3,295,240"
Oxford township,2020,"9,483,835","15,426,385","429,635","429,635"
Oxford township,2015,"9,465,838","16,012,474","262,027","262,027"
Palisades Park borough,2015,"44,880,335","86,248,900","4,464,847","4,464,847"
Palisades Park borough,2020,"47,281,769","83,946,031","4,275,770","4,275,770"
Palmyra borough,2015,"25,549,528","41,848,305","1,997,271","1,997,271"
Palmyra borough,2020,"25,889,246","38,676,023","1,819,923","1,819,923"
Paramus borough,2015,"89,302,327","488,582,969","10,775,959","10,775,959"
Paramus borough,2020,"88,296,278","401,654,683","9,859,266","9,859,266"
Park Ridge borough,2015,"6,300","6,300","3,891,686","3,891,686"
Park Ridge borough,2020,"5,426","5,426","3,523,139","3,523,139"
Parsippany-Troy Hills township,2015,"157,324,799","728,810,502","12,689,792","12,689,792"
Parsippany-Troy Hills township,2020,"151,746,164","636,136,309","12,284,048","12,284,048"
Passaic city,2015,"118,140,490","286,300,808","13,033,883","13,033,883"
Passaic city,2020,"120,716,935","272,142,267","11,910,961","11,910,961"
Paterson city,2015,"272,447,873","717,591,187","36,915,623","36,915,623"
Paterson city,2020,"287,074,651","699,776,991","34,245,789","34,245,789"
Paulsboro borough,2015,"22,511,879","22,511,879","1,012,660","1,012,660"
Paulsboro borough,2020,"20,604,653","20,604,653","905,463","905,463"
Peapack and Gladstone borough,2020,"13,278,702","22,894,673","871,408","871,408"
Peapack and Gladstone borough,2015,"13,581,299","36,631,894","840,652","840,652"
Pemberton borough,2015,"140,112","1,451,568","421,115","421,115"
Pemberton borough,2020,"112,617","8,642,420","375,964","375,964"
Pemberton township,2015,"106,807,409","164,897,058","4,528,422","4,528,422"
Pemberton township,2020,"98,621,360","147,117,916","3,991,877","3,991,877"
Pennington borough,2020,"10,630,550","21,908,291","1,586,645","1,586,645"
Pennington borough,2015,"10,329,133","23,312,612","857,283","857,283"
Penns Grove borough,2015,"26,174,506","26,174,506","1,178,422","1,178,422"
Penns Grove borough,2020,"23,235,256","23,235,256","1,042,868","1,042,868"
Pennsauken township,2015,"101,765,472","400,059,021","9,579,825","9,579,825"
Pennsauken township,2020,"101,475,271","379,580,529","8,625,372","8,625,372"
Pennsville township,2015,"59,429,433","59,429,433","2,427,544","2,427,544"
Pennsville township,2020,"50,715,307","50,715,307","2,093,869","2,093,869"
Pequannock township,2015,"52,495,214","119,152,794","5,380,123","5,380,123"
Pequannock township,2020,"49,689,629","110,670,473","5,020,961","5,020,961"
Perth Amboy city,2020,"101,272,372","261,458,330","17,383,640","17,383,640"
Perth Amboy city,2015,"97,723,344","274,640,728","9,537,203","9,537,203"
Phillipsburg town,2020,"44,648,077","122,189,661","5,344,357","5,344,357"
Phillipsburg town,2015,"42,769,610","207,169,641","3,000,379","3,000,379"
Pilesgrove township,2020,"3,516,944","3,516,944","406,052","406,052"
Pilesgrove township,2015,"3,237,431","3,237,431","154,119","154,119"
Pine Beach borough,2020,"8,682,281","10,029,590","8,004,393","8,004,393"
Pine Beach borough,2015,"8,830,431","10,385,850","825,632","825,632"
Pine Hill borough,2015,"39,229,474","39,229,474","2,036,646","2,036,646"
Pine Hill borough,2020,"36,305,488","36,305,488","2,022,305","2,022,305"
Pine Valley borough,2020,"190,998","190,998","7,658","7,658"
Pine Valley borough,2015,"239,265","239,265",NDA,0
Piscataway township,2015,"131,795,527","903,479,145","12,920,279","12,920,279"
Piscataway township,2020,"130,681,489","979,730,103","11,908,811","11,908,811"
Pitman borough,2015,"33,290,468","33,290,468","2,565,450","2,565,450"
Pitman borough,2020,"31,251,312","31,251,312","2,214,333","2,214,333"
Pittsgrove township,2015,"14,269,380","14,269,380","1,411,645","1,411,645"
Pittsgrove township,2020,"13,266,538","13,266,538","1,360,968","1,360,968"
Plainfield city,2015,"105,250,226","205,498,839","12,259,750","12,259,750"
Plainfield city,2020,"109,263,251","199,722,367","11,368,691","11,368,691"
Plainsboro township,2015,"89,770,568","401,839,245","4,183,530","4,183,530"
Plainsboro township,2020,"85,553,227","338,159,080","3,745,456","3,745,456"
Pleasantville city,2015,"51,477,440","51,477,440","6,509,301","6,509,301"
Pleasantville city,2020,"46,222,721","46,222,721","4,024,491","4,024,491"
Plumsted township,2015,"38,026,276","56,118,607","1,321,802","1,321,802"
Plumsted township,2020,"35,878,869","49,356,930","1,141,101","1,141,101"
Pohatcong township,2020,"14,022,880","31,175,590","191,504","191,504"
Pohatcong township,2015,"14,497,154","36,156,904","96,824","96,824"
Point Pleasant Beach borough,2015,"23,436,719","53,740,714","2,292,766","2,292,766"
Point Pleasant Beach borough,2020,"25,678,979","51,178,379","2,062,945","2,062,945"
Point Pleasant borough,2015,"74,800,173","108,535,120","6,839,598","6,839,598"
Point Pleasant borough,2020,"74,450,421","104,230,822","6,136,309","6,136,309"
Pompton Lakes borough,2015,"36,455,166","67,646,668","3,881,168","3,881,168"
Pompton Lakes borough,2020,"35,772,955","60,904,149","3,466,883","3,466,883"
Port Republic city,2020,"6,170,203","6,170,203","9,825","9,825"
Port Republic city,2015,"7,564,486","7,564,486","9,628","9,628"
Princeton,2015,"95,898,783","320,054,713","9,919,727","9,919,727"
Princeton,2020,"97,934,001","224,401,381","8,942,230","8,942,230"
Prospect Park borough,2015,"12,240,660","16,618,586","1,801,699","1,801,699"
Prospect Park borough,2020,"12,658,351","16,873,487","1,682,705","1,682,705"
Quinton township,2015,"9,520,215","9,520,215","1,877","1,877"
Quinton township,2020,"8,145,601","8,145,601","1,266","1,266"
Rahway city,2020,"77,088,191","221,006,908","11,294,594","11,294,594"
Rahway city,2015,"74,420,212","282,101,768","6,249,094","6,249,094"
Ramsey borough,2015,"55,855,148","55,855,148","6,862,246","6,862,246"
Ramsey borough,2020,"54,418,576","129,558,915","6,319,523","6,319,523"
Randolph township,2015,"99,069,768","170,222,007","8,547,422","8,547,422"
Randolph township,2020,"98,004,103","157,049,526","8,297,108","8,297,108"
Raritan borough,2015,"21,698,082","152,929,376","2,262,336","2,262,336"
Raritan borough,2020,"21,972,884","122,274,179","2,059,986","2,059,986"
Raritan township,2020,"90,235,013","249,276,570","11,112,118","11,112,118"
Raritan township,2015,"86,816,291","262,037,484","6,032,477","6,032,477"
Readington township,2020,"73,779,984","127,264,694","4,851,560","4,851,560"
Readington township,2015,"74,011,135","137,146,843","4,632,767","4,632,767"
Red Bank borough,2015,"39,316,941","173,248,045","3,056,186","3,056,186"
Red Bank borough,2020,"36,956,942","146,126,932","2,683,563","2,683,563"
Ridgefield borough,2015,"28,774,095","114,608,092","3,551,797","3,551,797"
Ridgefield borough,2020,"28,317,285","110,206,306","3,243,454","3,243,454"
Ridgefield Park village,2015,"31,562,107","90,961,481","3,499,443","3,499,443"
Ridgefield Park village,2020,"31,469,818","88,515,136","3,126,475","3,126,475"
Ridgewood village,2015,"95,460,830","176,403,066","12,245,081","12,245,081"
Ridgewood village,2020,"93,813,400","158,598,567","10,816,700","10,816,700"
Ringwood borough,2015,"44,408,846","60,806,857","3,903,473","3,903,473"
Ringwood borough,2020,"43,939,646","60,457,650","3,623,028","3,623,028"
River Edge borough,2015,"34,129,677","54,711,735","3,846,733","3,846,733"
River Edge borough,2020,"34,268,894","51,518,733","3,424,209","3,424,209"
River Vale township,2015,"39,010,576","53,690,744","4,589,070","4,589,070"
River Vale township,2020,"38,214,780","50,545,444","4,138,810","4,138,810"
Riverdale borough,2015,"15,494,189","46,555,536","1,293,902","1,293,902"
Riverdale borough,2020,"14,010,933","40,644,868","1,163,740","1,163,740"
Riverside township,2015,"24,432,509","42,412,127","2,051,557","2,051,557"
Riverside township,2020,"23,991,786","39,004,625","1,855,478","1,855,478"
Riverton borough,2015,"9,939,451","14,134,430","996,091","996,091"
Riverton borough,2020,"9,852,462","13,327,552","903,082","903,082"
Robbinsville township,2015,"53,973,893","159,017,138","4,084,335","4,084,335"
Robbinsville township,2020,"55,062,658","161,241,275","3,943,113","3,943,113"
Rochelle Park township,2015,"17,231,311","81,077,771","1,836,348","1,836,348"
Rochelle Park township,2020,"16,869,782","68,201,850","1,669,945","1,669,945"
Rockaway borough,2015,"22,027,414","61,334,028","1,611,831","1,611,831"
Rockaway borough,2020,"20,412,360","51,687,189","1,597,889","1,597,889"
Rockaway township,2020,"91,877,573","314,260,470","4,596,700","4,596,700"
Rockaway township,2015,"95,121,139","359,486,458","3,820,049","3,820,049"
Rockleigh borough,2015,"1,756,526","1,756,526","211,922","211,922"
Rockleigh borough,2020,"1,865,364","31,271,496","205,588","205,588"
Rocky Hill borough,2015,"2,781,760","5,589,024","237,641","237,641"
Rocky Hill borough,2020,"2,750,116","4,728,746","223,742","223,742"
Roosevelt borough,2015,"3,067,242","3,918,267","320,258","320,258"
Roosevelt borough,2020,"2,900,751","3,661,498","294,682","294,682"
Roseland borough,2015,"24,302,491","125,182,167","2,690,989","2,690,989"
Roseland borough,2020,"23,859,373","90,478,960","2,447,791","2,447,791"
Roselle borough,2020,"51,226,101","95,327,096","8,226,643","8,226,643"
Roselle borough,2015,"47,221,571","94,110,229","4,862,132","4,862,132"
Roselle Park borough,2020,"33,125,752","45,669,859","4,689,368","4,689,368"
Roselle Park borough,2015,"32,173,304","48,142,477","2,869,191","2,869,191"
Roxbury township,2020,"82,134,377","181,392,957","5,443,819","5,443,819"
Roxbury township,2015,"82,444,107","188,025,175","5,339,503","5,339,503"
Rumson borough,2015,"47,699,418","60,476,607","4,429,159","4,429,159"
Rumson borough,2020,"48,533,491","59,185,202","4,388,571","4,388,571"
Runnemede borough,2015,"27,782,488","52,489,489","1,959,772","1,959,772"
Runnemede borough,2020,"26,815,071","48,720,515","1,705,159","1,705,159"
Rutherford borough,2015,"52,236,840","160,749,928","6,057,427","6,057,427"
Rutherford borough,2020,"51,566,894","151,769,803","5,257,782","5,257,782"
Saddle Brook township,2015,"44,115,625","137,931,689","4,599,763","4,599,763"
Saddle Brook township,2020,"43,285,441","136,689,306","4,116,403","4,116,403"
Saddle River borough,2015,"39,649,416","40,442,895","4,420,421","4,420,421"
Saddle River borough,2020,"37,321,345","44,793,735","4,070,186","4,070,186"
Salem city,2015,"36,152,681","36,152,681","771,951","771,951"
Salem city,2020,"32,043,609","32,043,609","687,532","687,532"
Sandyston township,2015,"9,471,822","12,240,763",NDA,0
Sandyston township,2020,"9,416,742","11,694,279",NDA,0
Sayreville borough,2015,"127,721,881","578,329,080","13,574,822","13,574,822"
Sayreville borough,2020,"124,241,974","607,006,235","11,732,720","11,732,720"
Scotch Plains township,2020,"87,637,947","124,981,578","12,046,896","12,046,896"
Scotch Plains township,2015,"88,970,604","135,497,939","7,564,091","7,564,091"
Sea Bright borough,2015,"8,355,655","13,903,606","581,915","581,915"
Sea Bright borough,2020,"9,373,863","15,939,354","569,232","569,232"
Sea Girt borough,2015,"15,476,446","20,321,690","1,514,300","1,514,300"
Sea Girt borough,2020,"16,691,498","20,922,331","1,398,938","1,398,938"
Sea Isle City city,2015,"46,252,050","46,252,050","2,300,482","2,300,482"
Sea Isle City city,2020,"47,245,628","47,245,628","1,883,280","1,883,280"
Seaside Heights borough,2015,"125,042","211,343","860,052","860,052"
Seaside Heights borough,2020,"146,501","164,876","813,886","813,886"
Seaside Park borough,2015,"13,080,688","19,134,716","1,491,440","1,491,440"
Seaside Park borough,2020,"14,681,793","20,328,763","1,022,601","1,022,601"
Secaucus town,2015,"55,102,702","706,549,854","4,647,814","4,647,814"
Secaucus town,2020,"57,984,167","784,285,661","4,468,146","4,468,146"
Shamong township,2015,"33,360,876","33,360,876","1,445,885","1,445,885"
Shamong township,2020,"30,340,001","30,340,001","1,356,567","1,356,567"
Shiloh borough,2020,"2,157,672","2,157,672","51,395","51,395"
Shiloh borough,2015,"2,454,142","2,454,142","43,579","43,579"
Ship Bottom borough,2015,"11,931,760","11,931,760","707,963","707,963"
Ship Bottom borough,2020,"13,191,567","13,191,567","645,499","645,499"
Shrewsbury borough,2015,"18,222,296","53,600,182","1,614,118","1,614,118"
Shrewsbury borough,2020,"16,836,580","45,462,104","1,490,275","1,490,275"
Shrewsbury township,2015,"1,566,909","7,514,059","168,304","168,304"
Shrewsbury township,2020,"1,418,807","6,426,952","161,396","161,396"
Somerdale borough,2015,"17,842,678","37,214,125","1,685,269","1,685,269"
Somerdale borough,2020,"17,008,580","31,079,631","1,444,644","1,444,644"
Somers Point city,2015,"36,060,301","36,060,301","2,500,743","2,500,743"
Somers Point city,2020,"33,268,266","33,268,266","2,139,461","2,139,461"
Somerville borough,2015,"31,203,742","107,655,066","3,046,851","3,046,851"
Somerville borough,2020,"33,595,776","103,751,108","2,751,235","2,751,235"
South Amboy city,2015,"35,016,928","57,925,359","2,741,869","2,741,869"
South Amboy city,2020,"35,751,401","60,937,433","2,587,518","2,587,518"
South Bound Brook borough,2015,"13,990,469","19,612,486","1,206,453","1,206,453"
South Bound Brook borough,2020,"13,656,303","18,255,668","1,051,524","1,051,524"
South Brunswick township,2015,"134,965,724","596,006,407","14,030,163","14,030,163"
South Brunswick township,2020,"133,067,479","577,331,279","13,119,957","13,119,957"
South Hackensack township,2015,"6,682,517","66,213,538","753,325","753,325"
South Hackensack township,2020,"6,155,223","59,825,148","646,820","646,820"
South Harrison township,2020,"2,710,906","2,710,906","163,287","163,287"
South Harrison township,2015,"3,086,576","3,086,576","30,720","30,720"
South Orange Village township,2015,"54,464,128","116,455,118","7,414,168","7,414,168"
South Orange Village township,2020,"56,235,943","110,281,910","6,814,228","6,814,228"
South Plainfield borough,2015,"69,413,893","315,246,786","6,982,497","6,982,497"
South Plainfield borough,2020,"68,510,058","292,588,098","6,307,524","6,307,524"
South River borough,2015,NDA,NDA,"4,708,489","4,708,489"
South River borough,2020,NDA,NDA,"4,281,189","4,281,189"
South Toms River borough,2020,"9,963,011","17,267,832","840,913","840,913"
South Toms River borough,2015,"60,205,929","94,022,049","830,233","830,233"
Southampton township,2015,"59,317,005","73,677,643","1,035,052","1,035,052"
Southampton township,2020,"54,641,245","67,698,838","1,012,658","1,012,658"
Sparta township,2020,"91,323,986","144,465,355","2,095,472","2,095,472"
Sparta township,2015,"89,740,723","147,592,794","1,060,901","1,060,901"
Spotswood borough,2015,"28,806,847","96,614,264","2,238,041","2,238,041"
Spotswood borough,2020,"27,520,110","82,102,196","1,977,897","1,977,897"
Spring Lake borough,2015,"22,515,730","35,005,684","2,400,174","2,400,174"
Spring Lake borough,2020,"25,119,839","35,647,472","1,872,547","1,872,547"
Spring Lake Heights borough,2015,"21,504,588","30,616,491","1,606,382","1,606,382"
Spring Lake Heights borough,2020,"21,225,055","28,699,136","1,454,877","1,454,877"
Springfield township,2015,"56,047,377","138,795,658","5,881,830","5,881,830"
Springfield township,2020,"53,063,956","131,198,153","5,083,553","5,083,553"
Springfield township,2015,"16,956,867","27,342,126","334,819","334,819"
Springfield township,2020,"16,086,748","25,524,292","276,501","276,501"
Stafford township,2015,"121,700,981","121,700,981","6,697,037","6,697,037"
Stafford township,2020,"118,939,627","118,939,627","493,581","493,581"
Stanhope borough,2015,"16,197,477","23,653,854",NDA,0
Stanhope borough,2020,"15,633,366","21,887,353",NDA,0
Stillwater township,2015,"20,337,541","23,533,444",NDA,0
Stillwater township,2020,"20,188,848","23,512,753",NDA,0
Stockton borough,2020,"2,384,066","3,574,668","265,695","265,695"
Stockton borough,2015,"2,357,894","4,029,626","154,161","154,161"
Stone Harbor borough,2015,"24,076,717","24,076,717","1,369,970","1,369,970"
Stone Harbor borough,2020,"25,208,510","25,208,510","1,321,507","1,321,507"
Stow Creek township,2020,"3,351,233","3,351,233","9,566","9,566"
Stow Creek township,2015,"3,760,788","3,760,788",150,150
Stratford borough,2015,"22,677,982","22,677,982","1,813,677","1,813,677"
Stratford borough,2020,"21,015,297","21,015,297","1,548,455","1,548,455"
Summit city,2015,"90,861,592","279,627,867","10,143,011","10,143,011"
Summit city,2020,"83,819,643","267,183,957","8,811,108","8,811,108"
Surf City borough,2015,"15,131,354","15,131,354","847,588","847,588"
Surf City borough,2020,"16,518,220","16,518,220","838,910","838,910"
Sussex borough,2020,"8,604,266","84,866,891","379,156","379,156"
Sussex borough,2015,"7,796,066","90,737,672","184,052","184,052"
Swedesboro borough,2015,"76,037,386","76,037,386","593,705","593,705"
Swedesboro borough,2020,"70,241,253","70,241,253","536,684","536,684"
Tabernacle township,2020,"33,613,900","33,613,900","895,820","895,820"
Tabernacle township,2015,"35,819,229","35,819,229","666,287","666,287"
Tavistock borough,2015,NDA,NDA,NDA,0
Tavistock borough,2020,NDA,NDA,NDA,0
Teaneck township,2015,"122,125,995","240,815,287","14,243,659","14,243,659"
Teaneck township,2020,"123,047,575","225,478,444","12,520,332","12,520,332"
Tenafly borough,2015,"60,591,362","93,114,784","7,513,319","7,513,319"
Tenafly borough,2020,"61,444,821","86,918,618","6,883,909","6,883,909"
Teterboro borough,2015,"1,108,021","88,797,504","16,286","16,286"
Teterboro borough,2020,"193,803","87,029,229","14,212","14,212"
Tewksbury township,2015,"39,958,351","52,453,648","1,777,846","1,777,846"
Tewksbury township,2020,"39,544,299","50,266,984","1,761,661","1,761,661"
Tinton Falls borough,2015,"60,134,835","189,291,025","5,177,315","5,177,315"
Tinton Falls borough,2020,"60,252,810","165,982,190","152,630","152,630"
Toms River township,2015,"382,776,081","734,275,705","30,103,949","30,103,949"
Toms River township,2020,"382,946,983","662,897,073","1,520,621","1,520,621"
Totowa borough,2015,"35,603,623","224,424,149","4,520,046","4,520,046"
Totowa borough,2020,"35,287,740","221,437,944","4,090,631","4,090,631"
Trenton city,2015,"177,044,325","619,356,712","23,046,694","23,046,694"
Trenton city,2020,"185,020,440","592,191,011","21,183,714","21,183,714"
Tuckerton borough,2015,"28,662,418","28,662,418","1,429,358","1,429,358"
Tuckerton borough,2020,"25,898,718","25,898,718","941,625","941,625"
Union Beach borough,2020,"18,198,317","32,768,695","2,254,540","2,254,540"
Union Beach borough,2015,"18,214,724","40,581,226","1,601,919","1,601,919"
Union City city,2015,"102,228,854","244,889,240","9,460,245","9,460,245"
Union City city,2020,"102,967,360","238,961,888","8,375,347","8,375,347"
Union township,2020,"145,195,464","409,645,158","25,227,762","25,227,762"
Union township,2015,"143,263,619","464,125,150","14,632,126","14,632,126"
Union township,2020,"24,493,796","52,891,635","956,930","956,930"
Union township,2015,"25,217,749","63,053,180","534,777","534,777"
Upper Deerfield township,2020,"11,048,325","43,833,625","837,712","837,712"
Upper Deerfield township,2015,"12,926,192","43,019,999","766,211","766,211"
Upper Freehold township,2015,"29,680,034","41,503,949","2,081,211","2,081,211"
Upper Freehold township,2020,"35,458,738","47,118,828","2,080,713","2,080,713"
Upper Pittsgrove township,2020,"17,187,197","17,187,197","206,577","206,577"
Upper Pittsgrove township,2015,"19,073,818","19,073,818","184,632","184,632"
Upper Saddle River borough,2015,"44,576,569","69,660,987","6,253,918","6,253,918"
Upper Saddle River borough,2020,"44,358,332","62,120,700","5,766,418","5,766,418"
Upper township,2020,"54,275,520","54,275,520","1,794,905","1,794,905"
Upper township,2015,"60,050,240","60,050,240","1,718,406","1,718,406"
Ventnor City city,2015,"44,133,494","44,133,494","4,539,997","4,539,997"
Ventnor City city,2020,"43,256,613","43,256,613","3,562,392","3,562,392"
Vernon township,2020,"31,523,790","58,504,815","2,302,939","2,302,939"
Vernon township,2015,"32,920,661","66,698,884","1,276,836","1,276,836"
Verona township,2015,"42,998,169","79,983,213","5,094,322","5,094,322"
Verona township,2020,"43,383,806","73,891,674","4,643,222","4,643,222"
